fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
1,2,5.000928023298818e-08,0.0,0.0,5.000928023298818e-08,0.0,5.000928023298818e-08,5.000928023298818e-05,0.0,0.0,5.000928023298818e-05,0.0,5.000928023298818e-05,transformer,reg1a,,1000000.0,2401.777119828844,5.768533333333334,abc
2,3,0.0001733542899408,0.0,0.0,0.0001733542899408,0.0,0.0001733542899408,0.0001733542899408,0.0,0.0,0.0001733542899408,0.0,0.0001733542899408,switch,sw1,CLOSED,1000000.0,2401.777119828844,5.768533333333334,abc
3,4,0.0060096154077292,0.0020487325490014,0.0020159002866124,0.0061278114829881,0.002074998289571,0.0060608336954511,0.0141572670349482,0.0065887762805103,0.0050548534809541,0.0137659065504807,0.0055630967779215,0.0139878526026257,line,l115,,1000000.0,2401.777119828844,5.768533333333334,abc
4,5,0.0,0.0,0.0,0.007637110103088,0.0,0.0,0.0,0.0,0.0,0.0077422553869845,0.0,0.0,line,l1,,1000000.0,2401.777119828844,5.768533333333334,b
4,6,0.0,0.0,0.0,0.0,0.0,0.0109101572901257,0.0,0.0,0.0,0.0,0.0,0.0110603648385493,line,l2,,1000000.0,2401.777119828844,5.768533333333334,c
6,7,0.0,0.0,0.0,0.0,0.0,0.0087281258321005,0.0,0.0,0.0,0.0,0.0,0.0088482918708394,line,l4,,1000000.0,2401.777119828844,5.768533333333334,c
6,8,0.0,0.0,0.0,0.0,0.0,0.0141832044771634,0.0,0.0,0.0,0.0,0.0,0.0143784742901141,line,l5,,1000000.0,2401.777119828844,5.768533333333334,c
8,9,0.0,0.0,0.0,0.0,0.0,0.0109101572901257,0.0,0.0,0.0,0.0,0.0,0.0110603648385493,line,l6,,1000000.0,2401.777119828844,5.768533333333334,c
4,10,0.0045072115557969,0.0015365494117511,0.0015119252149593,0.0045958586122411,0.0015562487171782,0.0045456252715883,0.0106179502762111,0.0049415822103827,0.0037911401107156,0.0103244299128605,0.0041723225834411,0.0104908894519693,line,l3,,1000000.0,2401.777119828844,5.768533333333334,abc
10,11,0.0030048077038646,0.0010243662745007,0.0010079501433062,0.003063905741494,0.0010374991447855,0.0030304168477255,0.0070786335174741,0.0032943881402551,0.002527426740477,0.0068829532752403,0.0027815483889607,0.0069939263013128,line,l7,,1000000.0,2401.777119828844,5.768533333333334,abc
11,12,0.0,0.0,0.0,0.0098191415611131,0.0,0.0,0.0,0.0,0.0,0.0099543283546944,0.0,0.0,line,l8,,1000000.0,2401.777119828844,5.768533333333334,b
11,13,0.0098191415611131,0.0,0.0,0.0,0.0,0.0,0.0099543283546944,0.0,0.0,0.0,0.0,0.0,line,l9,,1000000.0,2401.777119828844,5.768533333333334,a
13,14,5.000928023298818e-08,0.0,0.0,5.000928023298818e-08,0.0,5.000928023298818e-08,5.000928023298818e-05,0.0,0.0,5.000928023298818e-05,0.0,5.000928023298818e-05,transformer,reg2a,,1000000.0,2401.777119828844,5.768533333333334,a
14,15,0.0185472673932137,0.0,0.0,0.0,0.0,0.0,0.0188026202255339,0.0,0.0,0.0,0.0,0.0,line,l11,,1000000.0,2401.777119828844,5.768533333333334,a
15,16,0.0109101572901257,0.0,0.0,0.0,0.0,0.0,0.0110603648385493,0.0,0.0,0.0,0.0,0.0,line,l14,,1000000.0,2401.777119828844,5.768533333333334,a
15,17,0.0109101572901257,0.0,0.0,0.0,0.0,0.0,0.0110603648385493,0.0,0.0,0.0,0.0,0.0,line,l15,,1000000.0,2401.777119828844,5.768533333333334,a
11,18,0.0045072115557969,0.0015365494117511,0.0015119252149593,0.0045958586122411,0.0015562487171782,0.0045456252715883,0.0106179502762111,0.0049415822103827,0.0037911401107156,0.0103244299128605,0.0041723225834411,0.0104908894519693,line,l10,,1000000.0,2401.777119828844,5.768533333333334,abc
18,19,0.0,0.0,0.0,0.0,0.0,0.0065460943740754,0.0,0.0,0.0,0.0,0.0,0.0066362189031296,line,l12,,1000000.0,2401.777119828844,5.768533333333334,c
19,20,0.0,0.0,0.0,0.0,0.0,0.0043640629160502,0.0,0.0,0.0,0.0,0.0,0.0044241459354197,line,l34,,1000000.0,2401.777119828844,5.768533333333334,c
20,21,0.0,0.0,0.0,0.0,0.0,0.0163652359351886,0.0,0.0,0.0,0.0,0.0,0.016590547257824,line,l16,,1000000.0,2401.777119828844,5.768533333333334,c
20,22,0.0,0.0,0.0,0.0,0.0,0.015274220206176,0.0,0.0,0.0,0.0,0.0,0.0154845107739691,line,l17,,1000000.0,2401.777119828844,5.768533333333334,c
18,23,0.012638611183663,0.0042796836862056,0.0042255108823155,0.012500469496868,0.0041577943411381,0.0123948317784416,0.0283921822603665,0.0114738871044632,0.0135893510785526,0.0288499459929155,0.0104256353044679,0.0291993632595807,line,l13,,1000000.0,2401.777119828844,5.768533333333334,abc
23,24,0.0109101572901257,0.0,0.0,0.0,0.0,0.0,0.0110603648385493,0.0,0.0,0.0,0.0,0.0,line,l18,,1000000.0,2401.777119828844,5.768533333333334,a
24,25,0.0141832044771634,0.0,0.0,0.0,0.0,0.0,0.0143784742901141,0.0,0.0,0.0,0.0,0.0,line,l20,,1000000.0,2401.777119828844,5.768533333333334,a
23,26,0.0045958586122411,0.0015562486131656,0.0015365494117511,0.0045456252715883,0.0015119252149593,0.0045072115557969,0.0103244299128605,0.0041723225834411,0.0049415822103827,0.0104908894519693,0.0037911401107156,0.0106179502762111,line,l19,,1000000.0,2401.777119828844,5.768533333333334,abc
26,27,0.0,0.0,0.0,0.022911330309264,0.0,0.0,0.0,0.0,0.0,0.0232267661609536,0.0,0.0,line,l21,,1000000.0,2401.777119828844,5.768533333333334,b
26,28,0.0038298821768676,0.0012968738443047,0.0012804578431259,0.0037880210596569,0.0012599376791327,0.0037560096298308,0.0086036915940504,0.0034769354862009,0.0041179851753189,0.008742407876641,0.0031592834255963,0.0088482918968426,line,l22,,1000000.0,2401.777119828844,5.768533333333334,abc
28,29,0.0,0.0,0.0,0.0,0.0,0.0240023460382766,0.0,0.0,0.0,0.0,0.0,0.0243328026448086,line,l23,,1000000.0,2401.777119828844,5.768533333333334,c
