id,name,pa,pb,pc,qa,qb,qc,sa_max,sb_max,sc_max,phases,qa_max,qb_max,qc_max,qa_min,qb_min,qc_min,a_mode,b_mode,c_mode
13,76,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,100,100,100,-100,-100,-100,CONSTANT_P,CONSTANT_P,CONSTANT_P
23,86,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,100,100,100,-100,-100,-100,CONSTANT_P,CONSTANT_P,CONSTANT_P
28,91,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,100,100,100,-100,-100,-100,CONSTANT_P,CONSTANT_P,CONSTANT_P
30,93,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,100,100,100,-100,-100,-100,CONSTANT_P,CONSTANT_P,CONSTANT_P
34,97,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,100,100,100,-100,-100,-100,CONSTANT_P,CONSTANT_P,CONSTANT_P
36,99,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,100,100,100,-100,-100,-100,CONSTANT_P,CONSTANT_P,CONSTANT_P
37,100,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,100,100,100,-100,-100,-100,CONSTANT_P,CONSTANT_P,CONSTANT_P
40,101,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,100,100,100,-100,-100,-100,CONSTANT_P,CONSTANT_P,CONSTANT_P
44,105,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,100,100,100,-100,-100,-100,CONSTANT_P,CONSTANT_P,CONSTANT_P
47,108,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,100,100,100,-100,-100,-100,CONSTANT_P,CONSTANT_P,CONSTANT_P
