id,name,pa,pb,pc,qa,qb,qc,sa_max,sb_max,sc_max,phases,qa_max,qb_max,qc_max,qa_min,qb_min,qc_min
4,1a,0.02,0.02,0.02,0.020366,0.009418,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
7,7a,0.02,0.02,0.02,0.03792,0.006765,0.012515,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
14,13a,0.02,0.02,0.02,0.029197,0.006643,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
18,18a,0.02,0.02,0.02,0.034804,0.002889,0.004209,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
25,21a,0.02,0.02,0.02,0.0,0.020338,0.0,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
28,23a,0.02,0.02,0.02,0.008873,0.000422,0.027218,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
33,28a,0.02,0.02,0.02,0.039716,0.000562,0.015756,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
39,151a,0.02,0.02,0.02,0.00503,0.003656,0.005056,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
41,250a,0.02,0.02,0.02,0.007267,0.000281,0.014221,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
48,35a,0.02,0.02,0.02,0.016431,0.039716,0.004895,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
52,42a,0.02,0.02,0.02,0.020999,0.026357,0.004863,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
54,47a,0.02,0.02,0.02,0.039716,0.039716,0.033695,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
55,48a,0.02,0.02,0.02,0.039716,0.039716,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
58,49a,0.02,0.02,0.02,0.028683,0.039716,0.033807,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
61,54a,0.02,0.02,0.02,0.035835,0.009929,0.0,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
63,57a,0.02,0.02,0.02,0.001674,0.020052,0.0,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
66,60a,0.02,0.02,0.02,0.039716,0.018204,0.03145,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
68,97a,0.02,0.02,0.02,0.039716,0.025974,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
70,63a,0.02,0.02,0.02,0.024826,0.020595,0.031556,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
72,65a,0.02,0.02,0.02,0.039716,0.039716,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
77,99a,0.02,0.02,0.02,0.008906,0.01806,0.000173,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
82,76a,0.02,0.02,0.02,0.039716,0.039716,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
86,86a,0.02,0.02,0.02,0.039716,0.039716,0.038877,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
99,91a,0.02,0.02,0.02,0.009481,0.033103,0.019037,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
101,93a,0.02,0.02,0.02,0.018477,0.018197,0.000281,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
106,100a,0.02,0.02,0.02,0.000281,0.000342,0.019544,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
107,101a,0.02,0.02,0.02,0.009774,-2.2e-05,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
110,105a,0.02,0.02,0.02,0.024359,0.036801,0.003267,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
112,108a,0.02,0.02,0.02,0.039716,0.000931,0.000343,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
