id,name,pa,pb,pc,qa,qb,qc,sa_max,sb_max,sc_max,phases,qa_max,qb_max,qc_max,qa_min,qb_min,qc_min
4,1a,0.02,0.02,0.02,0.020803,0.0106,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
7,7a,0.02,0.02,0.02,0.039716,0.005667,0.011416,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
14,13a,0.02,0.02,0.02,0.03246,0.003308,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
18,18a,0.02,0.02,0.02,0.038887,0.001416,0.003345,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
25,21a,0.02,0.02,0.02,-4.9e-05,0.021792,0.000167,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
28,23a,0.02,0.02,0.02,0.011866,-0.000738,0.027768,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
33,28a,0.02,0.02,0.02,0.039716,-0.000183,0.016293,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
39,151a,0.02,0.02,0.02,0.00471,0.003656,0.004834,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
41,250a,0.02,0.02,0.02,0.008282,0.000464,0.015469,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
48,35a,0.02,0.02,0.02,0.018211,0.039716,0.004912,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
52,42a,0.02,0.02,0.02,0.021295,0.026587,0.004366,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
54,47a,0.02,0.02,0.02,0.039716,0.039716,0.035343,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
55,48a,0.02,0.02,0.02,0.039716,0.039716,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
58,49a,0.02,0.02,0.02,0.032012,0.039716,0.035638,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
61,54a,0.02,0.02,0.02,0.037593,0.010615,0.003693,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
63,57a,0.02,0.02,0.02,0.003148,0.019633,-0.000221,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
66,60a,0.02,0.02,0.02,0.039716,0.021799,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
68,97a,0.02,0.02,0.02,0.039716,0.030823,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
70,63a,0.02,0.02,0.02,0.026918,0.020992,0.034643,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
72,65a,0.02,0.02,0.02,0.039716,0.039716,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
77,99a,0.02,0.02,0.02,0.011996,0.020169,0.002333,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
82,76a,0.02,0.02,0.02,0.039716,0.039716,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
86,86a,0.02,0.02,0.02,0.039716,0.039716,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
99,91a,0.02,0.02,0.02,0.013257,0.038441,0.023698,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
101,93a,0.02,0.02,0.02,0.019692,0.019602,-0.000482,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
