id,name,a,b,c
4,1,0.020366058443081814,0.009417678169852154,0.0397157287525381
7,7,0.037920175631202396,0.006764615771345342,0.012514941607312553
14,13,0.02919659126483497,0.006643176370158605,0.0397157287525381
18,18,0.03480434872353172,0.0028885139661412626,0.004209129117722115
25,21,1.3766722137265042e-13,0.02033796157399539,-2.702287178746321e-14
28,23,0.008872981464789003,0.00042187500001567035,0.0272179192273997
33,28,0.0397157287525381,0.0005624999999020914,0.015755754683760722
39,250,0.007266813249216289,0.00028125000000000003,0.014220580344938824
41,35,0.016430881014904343,0.0397157287525381,0.00489491468529203
48,42,0.02099856061763441,0.02635675223973339,0.004862584890540377
52,47,0.0397157287525381,0.0397157287525381,0.03369542399205701
54,48,0.0397157287525381,0.0397157287525381,0.0397157287525381
55,49,0.028683321726433002,0.0397157287525381,0.03380663832841994
58,151,0.005029546899460419,0.0036562500000000015,0.005056129287298769
61,54,0.03583463783678775,0.00992922562865153,3.0548480411951573e-15
63,57,0.0016738342109201415,0.020052410059846187,-1.8826953884776287e-13
66,60,0.0397157287525381,0.018203808811714902,0.03144950605918462
70,63,0.024825686535102174,0.02059488884707494,0.03155560252740268
72,65,0.0397157287525381,0.0397157287525381,0.0397157287525381
77,97,0.0397157287525381,0.025974487921657165,0.0397157287525381
82,76,0.0397157287525381,0.0397157287525381,0.0397157287525381
86,86,0.0397157287525381,0.0397157287525381,0.03887666274114624
99,91,0.009480705917061138,0.03310335475790235,0.019036995464660426
101,93,0.0184766253711108,0.0181972445881568,0.00028095365933442816
106,99,0.008905993345896973,0.01805982139137421,0.00017320352458076866
107,100,0.00028095365933442816,0.00034207202053593825,0.01954435394818542
110,101,0.009773834699316863,-2.1806338480710068e-05,0.0397157287525381
112,105,0.024359476085143238,0.03680126359462472,0.003266714441741672
116,108,0.0397157287525381,0.0009307367227779263,0.0003430323184846721
130,610,0.0018465860927921489,0.00028125000000000003,-0.00028125000000000003
