,fb,tb,a,b,c
2,150,150r,(0.7860677011262169+0.025686079792420994j),(0.3390328193175739+0.006581293230477663j),(0.5347355855207253-0.0033280244460376744j)
3,150r,149,(0.7860677011262169+0.025686079792420994j),(0.3390328193175739+0.006581293230477663j),(0.5347355855207253-0.0033280244460376744j)
4,149,1,(0.7860677011262169+0.025686079792420994j),(0.3390328193175739+0.006581293230477663j),(0.5347355855207253-0.0033280244460376744j)
5,1,2,,(0.020009885667823142+0.010012469312158783j),
6,1,3,,,(0.10216646553291278+0.05076851897742513j)
7,1,7,(0.766161225095171+0.025511246976709694j),(0.3390229336497508+0.006560648460214413j),(0.4525691199878125-0.014380814670924669j)
8,3,4,,,(0.039855304155874974+0.01981885386836224j)
9,3,5,,,(0.0623111613770378+0.030949665109062885j)
10,5,6,,,(0.04187266979249867+0.02079367933486191j)
11,7,8,(0.7662447466647069+0.05386797117210142j),(0.3590229336497508+0.012953152615288168j),(0.47256911998781254-0.005495368208932367j)
12,8,12,,(0.020026489853374102+0.010033361281543463j),
13,8,9,(0.0998939459099137+0.049405061299129305j),,
14,8,13,(0.6663508007547931+0.004462909872972112j),(0.33899644379637667+0.002919791333744707j),(0.47256911998781254-0.005495368208932367j)
15,9,9r,(0.06014952455236666+0.029724165716263084j),,
16,9r,14,(0.06014952455236666+0.029724165716263084j),,
17,13,34,,,(0.10033679037937644+0.04964051843008961j)
18,13,18,(0.255271713477725+0.009705189287131624j),(0.0974626121204907-0.0003601807635058979j),(0.09746501323953508+0.00043324651866895325j)
19,14,11,(0.04017374555091392+0.019850693222453305j),,
20,14,10,(0.019975779001452747+0.009873472493809786j),,
21,34,15,,,(0.05956626136888783+0.029456581438118627j)
22,15,16,,,(0.03970668026840908+0.019632520325034635j)
23,15,17,,,(0.01985958110047875+0.009824061113083997j)
24,18,19,(0.07885757440385066+0.038852665120336256j),,
25,18,21,(0.03789429510901052+0.0023269172707747164j),(-0.037901312104858836-0.0004847683726342594j),(0.03892354851850785+0.0017036634204821211j)
26,19,20,(0.03923420087391437+0.01932291509650849j),,
27,21,22,,(0.042098687895141165+0.02110559849246082j),
28,21,23,(0.05789429510901052+0.002326917270916827j),(-0.06-0.0012655879716874094j),(0.058923548518507854+0.001408028722487201j)
29,23,24,,,(0.03964317474595236+0.01955305765457061j)
30,23,25,(0.07789429510901053+0.011160586748667082j),(-0.04-0.0008436944572162212j),(0.03928037377255549+0.009147078414296201j)
31,25,25r,(0.03967798571268644+0.019547500347038442j),,(0.039632190058592184+0.01953932060117771j)
32,25r,26,(0.03967798571268644+0.019547500347038442j),,(0.039632190058592184+0.01953932060117771j)
33,25,28,(0.03821630939632409-0.00838691359837136j),(-0.04-0.0008436944572162212j),(-0.00035181628603669565-0.01039224218688151j)
34,26,27,(0.03967798571268644+0.019547500347038442j),,0j
35,26,31,,,(0.039632190058592184+0.01953932060117771j)
36,27,33,(0.03967798571268644+0.01954750034703845j),,
37,28,29,(0.018921656458222205+0.011935765556093707j),(-0.02-0.00028095365933442816j),(0.019648183713963305+0.005396421383062028j)
38,29,30,(-0.02-0.007272323734048159j),(-0.02-0.00028095365933442816j),(0.019648183713963305+0.005396421383062028j)
39,30,250,(-0.02-0.007272323734048159j),(-0.02-0.00028095365933442816j),(-0.02-0.014162891432991096j)
40,31,32,,,(0.0198137607225619+0.009766742536612001j)
41,135,35,(0.15851984396486382+0.005775679191584025j),(0.15536392422534953+0.0024725031728070434j),(0.07854146472102723+0.0014684105708079706j)
42,35,36,(0.03866585625783953+0.019030976621121843j),(0.04050910117944807+0.020297994574994788j),
43,35,40,(0.11464563553974073+0.0045853948750369435j),(0.12026777813633278-0.00025295679843288945j),(0.09854146472102723+0.006604975154264172j)
44,36,37,(0.03866585625783953+0.019030976621121846j),,
45,36,38,,(0.04050910117944807+0.020297994574994788j),
46,38,39,,(0.020025561899029307+0.010032311193695813j),
47,40,41,,,(0.019844204486426806+0.00980479115489177j)
48,40,42,(0.11464563553974073+0.0045853948750369435j),(0.12026777813633278-0.00025295679843288945j),(0.07869726023460043-0.0031998160006275964j)
49,42,43,,(0.04167563712435626+0.020876017138054734j),
50,42,44,(0.11484481752968942+0.01434593993734831j),(0.09859214101197653+0.005084163770338094j),(0.09869726023460043+0.0022518087330822174j)
51,44,45,(0.03928354278582304+0.019325973635902084j),,
52,44,47,(0.07556127474386637-0.004980033698553771j),(0.09859214101197653+0.005084163770338094j),(0.09869726023460043+0.0022518087330822174j)
53,45,46,(0.019785226456640895+0.009731808993346852j),,
54,47,48,(0.04704221229094262+0.007420333674196191j),(0.052754294236300084+0.012382604422762653j),(0.04953520996811624+0.00936098850580685j)
55,47,49,(0.0144330242835285+0.000751893195174453j),(0.03011310772192135+0.0068319081520065985j),(0.03440644602087082+0.0009391344143625224j)
56,49,50,(-0.00020621182821808464+0.005305011109306362j),(-0.02-0.0036562247720797036j),(0.01968026951812978+0.01517803768419629j)
57,50,51,(-0.00020621182821808464+0.005305011109306362j),(-0.02-0.0036562247720797036j),(-0.02-0.0044213393924509665j)
58,51,151,(-0.02-0.004437505607862207j),(-0.02-0.0036562247720797036j),(-0.02-0.0044213393924509665j)
59,152,52,(0.4310790872770681+0.024675729646721996j),(0.26153383167588595+0.007906653264563008j),(0.2947673163689011-0.015853404405152833j)
60,52,53,(0.39141786286742625+0.00509850888697152j),(0.26153383167588595+0.007906653264563008j),(0.2947673163689011-0.015853404405152833j)
61,53,54,(0.3517809616409947-0.014448398829377542j),(0.26153383167588595+0.007906653264563008j),(0.2947673163689011-0.015853404405152833j)
62,54,55,(0.019462222592827545+0.009591777427330287j),(0.020028038366872173+0.010035534159764794j),0j
63,54,57,(0.3523187390481672+0.011405316973035555j),(0.2615057933090138+0.009672349271923009j),(0.3147673163689011-0.013639104441585052j)
64,55,56,0j,(0.020028038366872173+0.010035534159764794j),0j
65,57,58,,(0.04050099889404164+0.020262239033614255j),
66,57,60,(0.3723187390481672+0.011780756468795164j),(0.24100479441497216+0.009734583662256577j),(0.33476731636890106-0.013301067350422472j)
67,58,59,,(0.020005005345538597+0.010006803595056527j),
68,60,61,(-0.02-0.00025432045750500544j),(-0.02-0.0004429474288690613j),(-0.02-0.00029208601063859937j)
69,60,62,(0.04323278973299371+0.0002796029478417972j),(0.07140204062343093+0.0004771430710806741j),(0.13105252055555422+0.009125194481470499j)
