,fb,tb,a,b,c
0,149,1,(0.8268552045610623+0.031040446659685295j),(0.33489062209392917-0.00310208957008674j),(0.5515034623360386+0.007110903904656792j)
1,14,10,(0.020000126327277417+0.010000067605869349j),0j,0j
2,99,100,(-0.019999867393207516-0.013197091774616457j),(-0.0200006343652102-0.0002725601390785323j),(0.020000772901805106-0.019722473281078293j)
3,197,101,(0.0809042709631178-0.004586763666031926j),(0.02013938451216152+0.00045419825217799003j),(0.04033595824420488+0.04272689608258208j)
4,101,102,0j,0j,(0.10019371893672037+0.050190707641631666j)
5,102,103,0j,0j,(0.0800688834434969+0.04006582260977243j)
6,103,104,0j,0j,(0.04000089504866931+0.02000046845718672j)
7,101,105,(0.10084379163301208+0.02608249227627567j),(0.040154520854387456+0.040150231126940834j),(-0.04000246673812461-0.000309768368786441j)
8,105,106,0j,(0.08005458314280266+0.040052934044072314j),0j
9,106,107,0j,(0.03999977017927333+0.019999863732488955j),0j
10,105,108,(0.12075975449740245+0.06559145137415673j),(-0.020000785032869+0.00029602465745416883j),(-0.019999892084879966-4.363094716645173e-05j)
11,108,109,(0.14031146414416631+0.07030399248559667j),0j,0j
12,14,11,(0.04000025658986659+0.020000137434117837j),0j,0j
13,109,110,(0.10015788413425286+0.050150404955040744j),0j,0j
14,110,111,(0.020000458619372077+0.01000018694670263j),0j,0j
15,110,112,(0.08010498100625707+0.04010076531841533j),0j,0j
16,112,113,(0.060008126981257716+0.030005633860624624j),0j,0j
17,113,114,(0.020000502853364643+0.010000211008590745j),0j,0j
18,8,12,0j,(0.01999993462345081+0.009999967648759772j),0j
19,8,13,(0.7008042086726326-0.0023716974095162623j),(0.33583381189122824-0.008542608086614898j),(0.4879109356917974+0.006715783008840517j)
20,18,135,(0.1661688557672444-6.845710560817678e-05j),(0.1495229467235039+0.0028621951372202747j),(0.08011854865424624-0.01018306320457243j)
21,9r,14,(0.06002841720844527+0.03002622175760368j),0j,0j
22,150r,149,(0.8299144307441408+0.03904343313832429j),(0.33436434582223845-0.002749576442703488j),(0.5537737836970128+0.009177304779897472j)
23,34,15,0j,0j,(0.060042008556149905+0.03003883059751315j)
24,150,150r,(0.8300341304474987+0.03916313044430019j),(0.3343837302752216-0.0027301943450710677j),(0.5538269704803584+0.009230489151298505j)
25,51,151,(-0.020000097869239772-0.03153324989384926j),(-0.019999880697987374-0.03971576773946713j),(-0.020000215299200177-0.03499937269324191j)
26,13,152,(0.45366452642287014+0.023884291838367062j),(0.2663173507775916-0.0014399233287937093j),(0.3071688015815063+0.0002937832442840445j)
27,15,16,0j,0j,(0.04000035478046637+0.02000017955627616j)
28,60,160,(0.36455924961991687+0.07814250573048535j),(0.21535104518001597+0.0472320589014072j),(0.2496080466989094+0.06845611178948008j)
29,160,160r,(0.3645592423729285+0.07813525989315j),(0.21535104276557987+0.047229637648460235j),(0.24960804321633448+0.06845262798141834j)
30,15,17,0j,0j,(0.020000174891000665+0.010000088470272644j)
31,13,18,(0.2663442882903416+0.004618002274327741j),(0.0896364438089614-0.003886245092817866j),(0.10031051908561985-0.003994347478860014j)
32,18,19,(0.08003008575944001+0.04002862213091885j),0j,0j
33,97,197,(0.08091664309053136-0.004529538473908193j),(0.020135062648486683+0.00044979833657847484j),(0.040365170987641315+0.04275184402524955j)
34,1,2,0j,(0.019999971279759683+0.009999985716916616j),0j
35,19,20,(0.0400003600702628+0.020000198156843063j),0j,0j
36,18,21,(0.040055871423430894+0.0036802548372444435j),(-0.039901521172189675-0.00455796408851046j),(0.04016993899072128+0.010116832912557014j)
37,21,22,0j,(0.03999977857044516+0.019999890708479507j),0j
38,21,23,(0.060066608480600414+0.0035929737972661734j),(-0.05996712418768576-0.004381487242009887j),(0.060131609081365965+0.010713437515273603j)
39,23,24,0j,0j,(0.0400004218439384+0.020000213202188158j)
40,23,25,(0.08006509401376241+0.015387024061939154j),(-0.039985308278779455-0.0042609463250104776j),(0.040053172614070646+0.01879904123374811j)
41,30,250,(-0.020000163064755282-0.005000046731608431j),(-0.01999889863358382-0.0035349889151826846j),(-0.020000206828876908-0.00500005161553566j)
42,25,25r,(0.04005586535274783+0.02008398256830971j),0j,(0.04004381357736025+0.020038846632585365j)
43,25r,26,(0.04005436073380486+0.020062111970475676j),0j,(0.040027271629410985+0.02002352706527629j)
44,26,27,(0.040045545698771834+0.020043612195241145j),0j,0j
45,25,28,(0.040006293770892314-0.0047110689906512074j),(-0.03999467397059283-0.004272305559409336j),(9.665398350604505e-06-0.0012381704789817274j)
46,28,29,(0.020008329143702704+0.015000792163213907j),(-0.019998520954787876-0.003529783850789033j),(0.02000335142380468+0.01500864304440294j)
47,1,3,0j,0j,(0.10010497034619907+0.05010248238084102j)
48,29,30,(-0.019999287985132827-0.0049998717890759915j),(-0.019998185135083838-0.0035345751774471263j),(0.020001205837323552+0.015000400255737428j)
49,108,300,(1.3172765372341342e-15+3.3524259998532512e-15j),(3.838532057454429e-16-7.538761441800846e-15j),0j
50,26,31,0j,0j,(0.04000720538622085+0.020005656814035825j)
51,31,32,0j,0j,(0.02000021447238688+0.01000010839592463j)
52,27,33,(0.04000037170058806+0.02000020436458222j),0j,0j
53,13,34,0j,0j,(0.10006252568572314+0.05005897481441509j)
54,135,35,(0.1659840547990118-0.0003124228957107243j),(0.14947386687598696+0.0026512633325160785j),(0.0801239706925484-0.010201680655777793j)
55,35,36,(0.040027522992110404+0.020026304744137562j),(0.040028431949564645+0.02002608444077469j),0j
56,36,37,(0.04000036552333899+0.02000020268210242j),0j,0j
57,36,38,0j,(0.04000679432524536+0.020005394940829077j),0j
58,38,39,0j,(0.01999987889378502+0.009999940098627773j),0j
59,3,4,0j,0j,(0.04000012154778249+0.02000006109557908j)
