name,name,a,b,c
1,150,0.9999993209145299,1.0000000473006567,0.9999998399074848
2,150r,0.9999990361210352,1.0000000436167864,0.9999997512893901
3,149,0.9998483663013784,0.9999425517635852,0.9999021472956832
4,1,0.9957624237404453,1.0015263716447595,0.9957491109393374
5,2,,1.0012965055242464,
6,3,,,0.9940928625593672
7,7,0.9925027984976662,1.0028134400436899,0.9931712673812355
8,4,,,0.993563349823641
9,5,,,0.9928005021490333
10,6,,,0.9921376561539669
11,8,0.9901720760270863,1.003581383806335,0.9914280955432515
12,12,,1.0032864285149006,
13,9,0.98867310895975,,
14,13,0.9877387501650138,1.0043627112700302,0.9888100449329568
15,9r,0.9886715828242454,,
16,14,0.9869713479861043,,
17,34,,,0.9878105855435358
18,18,0.984802634697839,1.0059087129395687,0.9861576171098579
19,11,0.9863045792171271,,
20,10,0.9866380862422752,,
21,15,,,0.9874106187207148
22,16,,,0.9864105561319731
23,17,,,0.9869441960358692
24,19,0.9834645394687306,,
25,21,0.9848957051188268,1.006248694719597,0.9855776299127758
26,20,0.9825944567613502,,
27,22,,1.004874333650277,
28,23,0.9850311198545374,1.0066397897115413,0.9848876792499643
29,24,,,0.9834164216548221
30,25,0.9848439416983256,1.007146095846146,0.9841857878838002
31,25r,0.984842919818873,,0.9841847676150862
32,26,0.9845838597248668,,0.9836815774643014
33,28,0.984819836898624,1.0074109340445485,0.9839813487955158
34,27,0.9842174959394877,,0.9836515515653348
35,31,,,0.9830793931354553
36,33,0.9828792671033617,,
37,29,0.9847373963721465,1.007634800531079,0.9836354657471129
38,30,0.9851036834609898,1.0076728745217651,0.9833013127789758
39,250,0.9851597072197404,1.007718819350942,0.983376597699825
40,32,,,0.9826778655446622
41,35,0.9836837386090247,1.0055187918517947,0.986248893567436
42,36,0.9827267083521635,1.0050519838286043,
43,40,0.983190669985464,1.0057072297675578,0.9859360458353642
44,37,0.9819230080516397,,
45,38,,1.0043970980217105,
46,39,,1.0039713436800286,
47,41,,,0.9855023044279335
48,42,0.9826244366940371,1.0059148723210352,0.9857888610998128
49,43,,1.0046056113359785,
50,44,0.9822708303985912,1.0059861783578772,0.9855423429356523
51,45,0.9817348242247389,,
52,47,0.9821626304437698,1.0058861529423186,0.9852617390800241
53,46,0.9813327467449257,,
54,48,0.9820433989245849,1.005774033780824,0.9851547618360574
55,49,0.982371406845251,1.0058451658809562,0.9854055571934847
56,50,0.9825605544081191,1.0061419999582883,0.985282661790593
57,51,0.9826019166059571,1.006492823044235,0.9854918780634377
58,151,0.9830167869262799,1.0070344531842448,0.9859376277143397
59,52,0.9849532891664498,1.0046882310660554,0.9870121987395788
60,53,0.983876431734925,1.0047239055460002,0.9861644504172911
61,54,0.9833719266337034,1.00465205985315,0.985649357704187
62,55,0.9831566650994842,1.0045779163549355,0.9857210145678417
63,57,0.9821533161368425,1.00371940385939,0.9842568832182684
64,56,0.9831244461968697,1.0043997976686638,0.9858080788039641
65,58,,1.003063678172682,
66,60,0.9795766921887165,1.0020135569728919,0.9806852215754753
67,59,,1.0027357707599074,
68,61,0.9802288258590192,1.002329413326605,0.9812953921990801
69,62,0.9794749053769238,1.0013899019997041,0.9792281311845726
70,63,0.9793362203616119,1.0008782661225135,0.9786536553407873
71,64,0.9794668958034008,0.9994319345695712,0.9769155209877716
72,65,0.9793393329534895,0.9996306972198681,0.9744271762625203
73,66,0.9795837944507741,0.9998789487938473,0.9728874207992929
74,67,1.0451939626334816,0.9574610361844788,0.9601389448716395
75,68,1.0436779098238365,,
76,72,1.04483914759642,0.9562040723338792,0.9591958047692272
77,97,1.0451217413680605,0.9575952380805373,0.9598998291867429
78,69,1.0419402203981591,,
79,70,1.0407073469361743,,
80,71,1.0400117719062556,,
81,73,,,0.9569232917112519
82,76,1.0441797937152024,0.9554210274150373,0.9593287019594281
83,74,,,0.9549937253186351
84,75,,,0.9538906002192301
85,77,1.0436864529407237,0.9546443820998876,0.9586205358316102
86,86,1.043703336040091,0.9551845996585085,0.9611552114966115
87,78,1.0435782914664642,0.9545870042192819,0.9583768754003215
88,79,1.0432959993772994,0.9547100211797869,0.9583350712415672
89,80,1.0436606517137623,0.9540547308845455,0.9573081154778609
90,81,1.0437175935936762,0.9540981020284021,0.9567977759605942
91,82,1.0435025228390549,0.9542160411894727,0.9565811790944116
92,84,,,0.9540027402068351
93,83,1.043601052036191,0.9541973677102155,0.9564111229774604
94,85,,,0.9526911143593042
95,87,1.0430017711781598,0.954807715021255,0.9616046939157371
