,name,a,b,c
4,1,0.01970841699480186,0.009991824541895532,0.0397157287525381
7,7,0.038252463494697145,0.006392504155073755,0.008885446461992302
14,13,0.029918009060881504,0.004626681167312403,0.0397157287525381
18,18,0.037250072295563375,0.0023479155636786818,0.0027388274726211385
25,21,1.42110715556365e-13,0.020324778893407662,-0.00029563469799492024
28,23,0.008833669477750255,0.0004218935144711882,0.027292107346379615
33,28,0.0397157287525381,0.0005627407978817931,0.015788663569943538
39,250,0.007272323734048159,0.00028095365933442816,0.014162891432991096
41,35,0.015868872025692198,0.0397157287525381,0.0051365645834562015
48,42,0.01951184417875909,0.026213137706825713,0.005451624733709814
52,47,0.03711964599584725,0.0397157287525381,0.03257976111935183
54,48,0.0397157287525381,0.0397157287525381,0.0397157287525381
55,49,0.028909565830398276,0.0397157287525381,0.03384678792479855
58,151,0.004437505607862207,0.0036562247720797036,0.0044213393924509665
61,54,0.035445493229743386,0.011801230167124794,0.0022142999635677806
63,57,0.0003754394957596087,0.020324473423947824,0.0003380370911625803
66,60,0.03785937808200211,0.01656687122642903,0.03863270486007331
70,63,0.02351122227780978,0.020477210807225123,0.03122430269024903
72,65,0.0397157287525381,0.0397157287525381,0.0397157287525381
77,97,0.0397157287525381,0.025477042326888764,0.0397157287525381
82,76,0.0397157287525381,0.0397157287525381,0.0397157287525381
86,86,0.033075221675105765,0.0397157287525381,0.0397157287525381
99,91,0.00831007671123194,0.030318638492781044,0.025725434256828737
101,93,0.01718251025462558,0.018305690670713283,0.00028095365933442816
106,99,0.007750175222278572,0.018079534584988722,0.0026944132122214484
107,100,0.00028095365933442816,0.0002810092624623698,0.01875828316188208
110,101,0.006594843624592853,0.000782683324405696,0.0397157287525381
112,105,0.036745132059579313,0.03513855337404791,0.005633675793101876
116,108,0.0397157287525381,-0.0029531130370991547,-0.0008436944979652844
130,610,0.00025432045750500544,0.0004429474288690613,0.00029208601063859937
