,fb,tb,a,b,c
0,149,1,(0.8203594511876294+0.07272955830605414j),(0.3378174222592616+0.011354938204826496j),(0.5537275460400336+0.039618732431193286j)
1,14,10,(0.020000662755499804+0.010000340950202642j),0j,0j
2,99,100,(-0.020000750155381667-0.009779624766994153j),(-0.020001355367945325+1.633758191157176e-05j),(0.02000120216109717-0.0197226405242822j)
3,197,101,(0.080300798802159+0.0049318115057824215j),(0.0201406394502478+0.0021352335878358007j),(0.0403393657359654+0.04703456027365148j)
4,101,102,0j,0j,(0.10019730478285693+0.05019333236026243j)
5,102,103,0j,0j,(0.0800715191828827+0.040067631012135924j)
6,103,104,0j,0j,(0.04000217705765323+0.020001283993429944j)
7,101,105,(0.10023041138775937+0.02919403508315807j),(0.0401582935042181+0.03891841515664942j),(-0.04000276593775586-5.3225955605608756e-05j)
8,105,106,0j,(0.08005809138327262+0.04005543827098063j),0j
9,106,107,0j,(0.04000168693937985+0.02000117547305701j),0j
10,105,108,(0.12012947866970662+0.06866095017351066j),(-0.020001448567580488-0.00028805927942300694j),(-0.02000020173546425+0.00027339428515328655j)
11,108,109,(0.13959964270959627+0.06997855189138773j),0j,0j
12,14,11,(0.04000134132104064+0.020000690376443163j),0j,0j
13,109,110,(0.09941731195922839+0.049796057517603305j),0j,0j
14,110,111,(0.019904795836351366+0.009952458401646555j),0j,0j
15,110,112,(0.0794506657575531+0.039784000380692776j),0j,0j
16,112,113,(0.05942798269167282+0.02971673890439062j),0j,0j
17,113,114,(0.01979353692826941+0.009896828816192573j),0j,0j
18,8,12,0j,(0.020000083013927004+0.01000003702218112j),0j
19,8,13,(0.6943575509205556+0.03711724797033899j),(0.3387706392064454+0.006454966235837026j),(0.49006205200906094+0.03859949250167823j)
20,18,135,(0.16614992371272772+0.0057820941162470664j),(0.14955383610873776+0.0021951180665660502j),(0.08012111604565471-0.005997928950283167j)
21,9r,14,(0.06003009789860247+0.03002711335374503j),0j,0j
22,150r,149,(0.8233915934445208+0.08067233933516607j),(0.3372893532099849+0.011724805152554356j),(0.5560283082361868+0.041729623012076826j)
23,34,15,0j,0j,(0.06004308363345624+0.030039439365767123j)
24,150,150r,(0.823510288957989+0.08079103247529705j),(0.3373091009349104+0.01174455050128704j),(0.556082216877044+0.0417835292934307j)
25,51,151,(-0.020001144196581364-0.02868472154586751j),(-0.02000010834420766-0.039716136959190095j),(-0.020000326222013646-0.03380765552846468j)
26,13,152,(0.4472153169034706+0.0467865518341727j),(0.2692313452683689+0.018470261007716048j),(0.309308126195473+0.026278000682691503j)
27,15,16,0j,0j,(0.04000104461292845+0.02000054734807929j)
28,60,160,(0.3583130801232667+0.09402072752133726j),(0.2181301985165359+0.06011719153534258j),(0.251665489738581+0.08207043150665957j)
29,160,160r,(0.35831307294123393+0.09401354504010938j),(0.21813019596264366+0.060114635866649065j),(0.2516654860808091+0.0820667747714523j)
30,15,17,0j,0j,(0.020000497200713816+0.010000260487666742j)
31,13,18,(0.2663292412547763+0.01771726110580295j),(0.08966736680164603-0.005520616705372551j),(0.1003150387702174+0.0019105077384935357j)
32,18,19,(0.0800335249685576+0.040030455456865774j),0j,0j
33,97,197,(0.08031477444331445+0.004998743390649864j),(0.020135988793482454+0.002130646212752883j),(0.040372371378157+0.04706158259467704j)
34,1,2,0j,(0.02000003763788032+0.01000001781015346j),0j
35,19,20,(0.04000205638285448+0.020001074263818166j),0j,0j
36,18,21,(0.04005720239652655+0.00659522016805359j),(-0.03990169300723994-0.004852050598480567j),(0.04017193256182281+0.012103150956913849j)
37,21,22,0j,(0.04000050140395168+0.020000229969079655j),0j
38,21,23,(0.060069140492170874+0.006557356279405756j),(-0.0599682233950919-0.004599360526223016j),(0.06013400542424917+0.012078648667653786j)
39,23,24,0j,0j,(0.04000146790190621+0.020000768806324253j)
40,23,25,(0.08006840107003413+0.015358288953711502j),(-0.03998632980355483-0.004197877407167559j),(0.04005453234542439+0.019237835960430966j)
41,30,250,(-0.02000083123580724-0.005030219952493046j),(-0.019999852549561388-0.0036559834658797187j),(-0.020000760973824028-0.005056203806822755j)
42,25,25r,(0.04005764721535634+0.02008515741507866j),0j,(0.04004502120490694+0.020039521246737513j)
43,25r,26,(0.040056129181463035+0.020063189838918114j),0j,(0.04002844479594699+0.02002417745402643j)
44,26,27,(0.04004728324267883+0.02004460989282181j),0j,(6.507561437376276e-15+2.340225602724658e-14j)
45,25,28,(0.040007810358918414-0.004741099323003257j),(-0.039995736436971525-0.004209273375569525j),(9.779577609439685e-06-0.0008001412777601941j)
46,28,29,(0.020009083855672943+0.014971393887880652j),(-0.0199994944584998-0.0036507823075646j),(0.020003928156691556+0.014953084914046379j)
47,1,3,0j,0j,(0.10010572238935865+0.05010289762875085j)
48,29,30,(-0.019999958466315287-0.005030034467757568j),(-0.019999134473165453-0.003655569921168485j),(0.020001770906267112+0.014944850733725047j)
49,108,300,(-2.0275727152355983e-15+1.1496100173943415e-15j),(-2.140717069312559e-15-3.59401002085247e-15j),(-5.6840757748266595e-15+1.6394829904981282e-15j)
50,26,31,0j,0j,(0.04000834404558325+0.0200062683892044j)
51,31,32,0j,0j,(0.020000791284532818+0.010000414175036157j)
52,27,33,(0.040001942396529926+0.020001024329760364j),0j,0j
53,13,34,0j,0j,(0.1000642021482603+0.050059920608166115j)
54,135,35,(0.1659603096448991+0.0055320114384876514j),(0.14950885258590854+0.0019818497533084373j),(0.08012514662942939-0.006012229760282855j)
55,35,36,(0.0400295107642845+0.020027384632213614j),(0.040029512662424264+0.020026602564568695j),0j
56,36,37,(0.040002251198735524+0.02000117385401191j),0j,0j
57,36,38,0j,(0.040007872438353326+0.020005910346035247j),0j
58,38,39,0j,(0.020000445836102432+0.010000211939290555j),0j
59,3,4,0j,0j,(0.04000037786351779+0.020000192719194586j)
60,35,40,(0.12019776018198636-0.005287012476766333j),(0.11510461381274575-0.039958679043258206j),(0.10009484061869892+0.00817578297803674j)
61,40,41,0j,0j,(0.020000487031965032+0.010000258475152388j)
62,40,42,(0.12011913917688842-0.005382016176661118j),(0.11509852403242724-0.04005502890561925j),(0.0800734464331884-0.0018428753291587054j)
63,42,43,0j,(0.04000086184459188+0.02000040339084655j),0j
