,fb,tb,a,b,c
0,149,1,(0.8200412845744858+0.024699580466579853j),(0.33872899250087674-0.0017752710871639429j),(0.5523113953479519+0.007681880932180007j)
1,14,10,(0.02000010025398425+0.010000039575430286j),0j,0j
2,99,100,(-0.01999976701016162-0.01488297552147394j),(-0.020000844923687318+0.00011141458033698836j),(0.020000855029707144-0.019723294418894508j)
3,197,101,(0.08093132860125093-0.0037827728568423373j),(0.020115713163677152+0.0008548059403800853j),(0.04029186829314938+0.04279136466671538j)
4,101,102,0j,0j,(0.10016810563755432+0.05016414140011644j)
5,102,103,0j,0j,(0.0800597363889035+0.040056151958457326j)
6,103,104,0j,0j,(0.04000075096130487+0.02000036325505204j)
7,101,105,(0.10087022188388953+0.027513407918211347j),(0.04013042964566823+0.04055582687906228j),(-0.040001560212545875+0.00011271203412448084j)
8,105,106,0j,(0.08004590772894438+0.04004364894992138j),0j
9,106,107,0j,(0.039999837571016814+0.019999933155250824j),0j
10,105,108,(0.1207825478879405+0.0670145640568633j),(-0.02000104696775052+0.0003707470198365208j),(-0.019999615167904265+0.00038028860308668297j)
11,108,109,(0.14032027411640238+0.07031379315916264j),0j,0j
12,14,11,(0.040000203752016884+0.020000080888611507j),0j,0j
13,109,110,(0.10016215004047364+0.0501553943447122j),0j,0j
14,110,111,(0.02000034650755633+0.010000155119242288j),0j,0j
15,110,112,(0.08010772712065208+0.040104020391603754j),0j,0j
16,112,113,(0.06000798027708286+0.030005790730279595j),0j,0j
17,113,114,(0.020000384215194997+0.01000017566906872j),0j,0j
18,8,12,0j,(0.019999951722603247+0.009999978828314469j),0j
19,8,13,(0.6946706675793685-0.007148503264685336j),(0.3395236812724642-0.006487427950452809j),(0.48907726800569956+0.005871667032445897j)
20,18,135,(0.16621965858985208-0.0006190117106758061j),(0.14941113190216218+0.001624148477308401j),(0.08010733214370439-0.010259750953299172j)
21,9r,14,(0.06002565364366989+0.030023161212885785j),0j,0j
22,150r,149,(0.822758437186334+0.03179668412451269j),(0.3382771169490034-0.001442724892971979j),(0.5543609432069435+0.009590371775637293j)
23,34,15,0j,0j,(0.060037962744923026+0.030034392918947144j)
24,150,150r,(0.8228650639614064+0.03190330826553357j),(0.3382953282603425-0.0014245161557311949j),(0.5544092878612994+0.009638713822768244j)
25,51,151,(-0.020000087492355823-0.03201215934181769j),(-0.019999900835627613-0.039715829115898195j),(-0.020000184060864238-0.03563831143409568j)
26,13,152,(0.44757519794232353+0.01913168352279732j),(0.27011803270666557+0.0008828577860830119j),(0.308401990136826-0.0019937279130094977j)
27,15,16,0j,0j,(0.04000029616902907+0.020000141070243j)
28,60,160,(0.3588944745164677+0.0723726557721858j),(0.2192779274684246+0.051969479451416986j),(0.25105750696427637+0.069084429221189j)
29,160,160r,(0.358894468212827+0.07236635266289286j),(0.2192779251432065+0.05196715269059731j),(0.2510575037762572+0.06908124422035625j)
30,15,17,0j,0j,(0.020000145848721118+0.010000069408360587j)
31,13,18,(0.26637743134041314+0.00456818224123471j),(0.08951509264200187-0.004183003201698288j),(0.10028084108406328-0.002538296339521301j)
32,18,19,(0.08002709967111282+0.040025410700063685j),0j,0j
33,97,197,(0.08094478555679538-0.003724318532575162j),(0.02011159991413647+0.0008502664071385042j),(0.040318658518678024+0.042812519100709795j)
34,1,2,0j,(0.01999997884879503+0.009999990717711777j),0j
35,19,20,(0.04000028431625515+0.02000011239567512j),0j,0j
36,18,21,(0.04004993032808747+0.003945727021100496j),(-0.039909946955461954-0.004414255415922986j),(0.04015339316378281+0.01105389352521291j)
37,21,22,0j,(0.03999983107996847+0.019999925054890157j),0j
38,21,23,(0.060059934094589984+0.0038625822362154325j),(-0.05997058670437593-0.0026998199346347173j),(0.060118684057882114+0.011198650840915573j)
39,23,24,0j,0j,(0.04000035746106857+0.02000017280690991j)
40,23,25,(0.0800587467985467+0.015663976655300317j),(-0.03998732481476927-0.003455990851334809j),(0.0400478075614799+0.018914598990208645j)
41,30,250,(-0.020000124928738303-0.0047100156328785305j),(-0.019999924223244363-0.0036559949146515425j),(-0.020000174806572006-0.004834039689970011j)
42,25,25r,(0.04005054431074926+0.020074587573461547j),0j,(0.04003948320911074+0.020033848956874364j)
43,25r,26,(0.040049123804533446+0.02005522786106822j),0j,(0.04002457749864815+0.020020408343763785j)
44,26,27,(0.04004110602583328+0.020038847719110964j),0j,0j
45,25,28,(0.040005637226983824-0.004423014590212548j),(-0.03999593386557364-0.003466058870290224j),(8.6328776493865e-06-0.0011174966700095014j)
46,28,29,(0.020007515241248493+0.01528962934433008j),(-0.019999480850135577-0.003651901427164422j),(0.020002913466312663+0.01517301820073003j)
47,1,3,0j,0j,(0.10009505293264517+0.05009205391344062j)
48,29,30,(-0.019999326446198038-0.004710206348373883j),(-0.019999228245641692-0.0036558531797462354j),(0.020001025364936042+0.015166068464497693j)
49,108,300,(3.0409983253426676e-15-6.884712122735574e-15j),(4.50878315920771e-15-1.3506768361487586e-15j),(8.283527171689236e-15-5.694231284973732e-15j)
50,26,31,0j,0j,(0.040006490315750244+0.020004805075610522j)
51,31,32,0j,0j,(0.020000182173704573+0.010000088230210454j)
52,27,33,(0.04000029211473724+0.020000114754577702j),0j,0j
53,13,34,0j,0j,(0.1000564975943508+0.05005249737007934j)
54,135,35,(0.16605170765135788-0.0008389822754298256j),(0.14936610187181557+0.0014306513951755405j),(0.08011236257572635-0.010275661745534412j)
