name,name,a,b,c
1,150,0.9999985992777128,0.9999997963741928,0.9999992755852608
2,150r,0.9999980651076842,0.9999997056662704,0.9999989915133076
3,149,0.9998413085807752,0.9999391972930807,0.9998953527914782
4,1,0.9953000443028026,1.0014658491456143,0.9955038071667086
5,2,,1.001235968371716,
6,3,,,0.9938471363221387
7,7,0.9917016363860806,1.002708382572008,0.9927449360239684
8,4,,,0.9933174890890455
9,5,,,0.9925544455232792
10,6,,,0.9918914299134934
11,8,0.9891572733391218,1.0034411913590762,0.9908809333627502
12,12,,1.0031461926901355,
13,9,0.9876567189303975,,
14,13,0.9864026280331264,1.0041692638657629,0.9880812578813188
15,9r,0.9876551911695417,,
16,14,0.9859531514750656,,
17,34,,,0.9870810422313218
18,18,0.9830901634220426,1.0058405073789687,0.9853890270659966
19,11,0.9852856748987874,,
20,10,0.9856195363018314,,
21,15,,,0.9866807720530112
22,16,,,0.985679950442456
23,17,,,0.9862139962939531
24,19,0.9817496716044406,,
25,21,0.9831537944759344,1.0061919392385104,0.9847984972478366
26,20,0.9808780287776215,,
27,22,,1.0048174760572204,
28,23,0.983263656943982,1.0065902686523696,0.9841053435209786
29,24,,,0.9826328731778186
30,25,0.9830765870660796,1.0070976851156863,0.9833983824735293
31,25r,0.9830755632896463,,0.983397361353515
32,26,0.9828158165902738,,0.9828937265005315
33,28,0.9830529255921046,1.007363218555441,0.9831905422169193
34,27,0.9824487758359446,,0.9828636554026008
35,31,,,0.9822910412558907
36,33,0.9811080771938064,,
37,29,0.9829698811375139,1.007588267522699,0.9828448454137569
38,30,0.9833363122041106,1.0076272178000356,0.9825110205751814
39,250,0.9833922886398205,1.0076738393728149,0.9825867148295642
40,32,,,0.9818891792890255
41,35,0.9818923649506609,1.0054844951940134,0.9854459096554524
42,36,0.9809341735091129,1.0050185173124224,
43,40,0.9813577233727314,1.00568556663344,0.9851184342037326
44,37,0.9801289635838923,,
45,38,,1.0043635922678307,
46,39,,1.0039378118008686,
47,41,,,0.9846843263280443
48,42,0.980749843176312,1.0059059855221733,0.9849567507566439
49,43,,1.0045966771297756,
50,44,0.9803706473635696,1.0059864833700674,0.9846968129297098
51,45,0.9798335719489971,,
52,47,0.9802311232695804,1.0058975095766043,0.9843994563784616
53,46,0.9794306919402642,,
54,48,0.9801123618847858,1.005788629996038,0.9842832289340933
55,49,0.9804158498413957,1.005861517780354,0.9845405994029295
56,50,0.9805805571499467,1.006163413087699,0.9844150563139333
57,51,0.9805973397473692,1.0065196168050536,0.984621921493926
58,151,0.9809637464662024,1.0070716029374578,0.9850630129554686
59,52,0.9834411257202254,1.0043017722085443,0.9860534071417462
60,53,0.9822775059764056,1.004242593836677,0.9850931186579436
61,54,0.9817188495615742,1.0041112635008664,0.9845077025822759
62,55,0.981503387555612,1.0040372390303882,0.984579323909092
63,57,0.980360082745367,1.0030179900922047,0.9829384456722258
64,56,0.9814712842263366,1.0038590218334573,0.9846664118720982
65,58,,1.0023617913729523,
66,60,0.9775643939223091,1.0009369686216893,0.9789803256815851
67,59,,1.002033647023798,
68,61,0.9782366320522397,1.001198125292558,0.9795951744353826
69,62,0.9774379820817258,1.0003172162609386,0.9775131754528692
70,63,0.9772820115719345,0.9998082899382721,0.9769324189396873
71,64,0.9774137741511957,0.9983592036759907,0.975190683301818
72,65,0.9772862969292622,0.9985567943134599,0.9726980306502064
73,66,0.9775309330292664,0.9988050976770555,0.9711554734488718
74,67,0.9571665430419277,0.9564267267305095,0.9583085090178596
75,68,0.9555096872651139,,
