fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base
1,2,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,1.9292492840877443e-06,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,1.9292492840877443e-06,switch, ,CLOSED,1000000.0,7199.557856794634,51.83363333333335
2,3,3.4710274842606863e-06,1.5215462944704378e-06,1.5215462944704378e-06,3.4710274842606863e-06,1.5215462944704378e-06,3.4710274842606863e-06,4.8055503800358e-05,1.60343507073534e-05,1.60343507073534e-05,4.8055503800358e-05,1.60343507073534e-05,4.8055503800358e-05,overhead_line,oh_line_252_212,,1000000.0,7199.557856794634,51.83363333333335
3,4,5.777756314067516e-05,3.233498312403803e-05,3.233498312403803e-05,5.777756314067516e-05,3.233498312403803e-05,5.777756314067516e-05,0.0001411204197064,2.949212249516941e-05,2.949212249516941e-05,0.0001411204197064,2.949212249516941e-05,0.0001411204197064,overhead_line,oh_line_212_154,,1000000.0,7199.557856794634,51.83363333333335
4,5,0.0005381187157262,0.0003011559963055,0.0003011559963055,0.0005381187157262,0.0003011559963055,0.0005381187157262,0.0013143430578799,0.0002746786506468,0.0002746786506468,0.0013143430578799,0.0002746786506468,0.0013143430578799,overhead_line,oh_line_154_156,,1000000.0,7199.557856794634,51.83363333333335
5,6,8.218547141995493e-05,4.599477179290221e-05,4.599477179290221e-05,8.218547141995493e-05,4.599477179290221e-05,8.218547141995493e-05,0.0002007361956805,4.19509556770177e-05,4.19509556770177e-05,0.0002007361956805,4.19509556770177e-05,0.0002007361956805,overhead_line,oh_line_156_223,,1000000.0,7199.557856794634,51.83363333333335
6,7,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,1.9292492840877443e-06,-1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,-1.9292492840877443e-06,switch,switch_223_261,CLOSED,1000000.0,7199.557856794634,51.83363333333335
7,8,9.137643693263626e-06,4.005542440882685e-06,4.005542440882685e-06,9.137643693263626e-06,4.005542440882685e-06,9.137643693263626e-06,0.0001265083820912,4.221118509749635e-05,4.221118509749635e-05,0.0001265083820912,4.221118509749635e-05,0.0001265083820912,overhead_line,oh_line_261_105,,1000000.0,7199.557856794634,51.83363333333335
8,9,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,1.9292492840877443e-06,-1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,-1.9292492840877443e-06,switch,switch_105_88,CLOSED,1000000.0,7199.557856794634,51.83363333333335
9,10,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,1.9292492840877443e-06,-1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,-1.9292492840877443e-06,switch,switch_88_87,CLOSED,1000000.0,7199.557856794634,51.83363333333335
10,11,1.4170533301210355e-05,4.181962057045095e-06,4.181962057045095e-06,1.4170533301210355e-05,4.181962057045095e-06,1.4170533301210355e-05,6.270536200930493e-05,2.0296054702752663e-05,2.0296054702752663e-05,6.270536200930493e-05,2.0296054702752663e-05,6.270536200930493e-05,overhead_line,oh_line_87_106,,1000000.0,7199.557856794634,51.83363333333335
11,12,0.0001115740790947,2.593854250712025e-05,2.593854250712025e-05,0.0001115740790947,2.593854250712025e-05,0.0001115740790947,7.93357849755795e-05,-1.5064623420185993e-07,-1.5064623420185993e-07,7.93357849755795e-05,-1.5064623420185993e-07,7.93357849755795e-05,overhead_line,oh_line_106_108,,1000000.0,7199.557856794634,51.83363333333335
12,13,0.0020102891924945,0.0004673484387608,0.0004673484387608,0.0020102891924945,0.0004673484387608,0.0020102891924945,0.001429434797118,-2.714272875591073e-06,-2.714272875591073e-06,0.001429434797118,-2.714272875591073e-06,0.001429434797118,overhead_line,oh_line_108_107,,1000000.0,7199.557856794634,51.83363333333335
13,14,0.0001526293672722,1.7214921556431794e-05,1.7214921556431794e-05,0.0001526293672722,1.7214921556431794e-05,0.0001526293672722,6.194490601895959e-05,-6.4585967903488885e-06,-6.4585967903488885e-06,6.194490601895959e-05,-6.4585967903488885e-06,6.194490601895959e-05,overhead_line,oh_line_107_10,,1000000.0,7199.557856794634,51.83363333333335
14,15,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,1.9292492840877443e-06,-1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,-1.9292492840877443e-06,switch,switch_10_296,CLOSED,1000000.0,7199.557856794634,51.83363333333335
8,16,2.9028534853846783e-05,1.272483719620681e-05,1.272483719620681e-05,2.9028534853846783e-05,1.272483719620681e-05,2.9028534853846783e-05,0.0004018927747801,0.0001340968086475,0.0001340968086475,0.0004018927747801,0.0001340968086475,0.0004018927747801,overhead_line,oh_line_105_191,,1000000.0,7199.557856794634,51.83363333333335
16,17,7.302865142727321e-06,0.0,0.0,0.0,0.0,0.0,0.0001011063338481,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_191_40,,1000000.0,7199.557856794634,51.83363333333335
17,18,1.9292492840877443e-06,0.0,0.0,0.0,0.0,0.0,-1.9292492840877443e-06,0.0,0.0,0.0,0.0,0.0,switch,switch_40_273,CLOSED,1000000.0,7199.557856794634,51.83363333333335
16,19,0.0001416013092061,6.207180677527793e-05,6.207180677527793e-05,0.0001416013092061,6.207180677527793e-05,0.0001416013092061,0.0019604345639858,0.0006541247693158,0.0006541247693158,0.0019604345639858,0.0006541247693158,0.0019604345639858,overhead_line,oh_line_191_193,,1000000.0,7199.557856794634,51.83363333333335
19,20,6.610292053848971e-06,0.0,0.0,0.0,0.0,0.0,9.151783336653004e-05,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_193_53,,1000000.0,7199.557856794634,51.83363333333335
20,21,1.9292492840877443e-06,0.0,0.0,0.0,0.0,0.0,-1.9292492840877443e-06,0.0,0.0,0.0,0.0,0.0,switch,switch_53_274,CLOSED,1000000.0,7199.557856794634,51.83363333333335
19,22,0.0001048272385766,4.595166622537524e-05,4.595166622537524e-05,0.0001048272385766,4.595166622537524e-05,0.0001048272385766,0.0014513067916181,0.0004842475937292,0.0004842475937292,0.0014513067916181,0.0004842475937292,0.0014513067916181,overhead_line,oh_line_193_195,,1000000.0,7199.557856794634,51.83363333333335
22,23,6.259324339484967e-06,2.7438134090893007e-06,2.7438134090893007e-06,6.259324339484967e-06,2.7438134090893007e-06,6.259324339484967e-06,8.665877350373709e-05,2.891483922425704e-05,2.891483922425704e-05,8.665877350373709e-05,2.891483922425704e-05,8.665877350373709e-05,overhead_line,oh_line_195_55,,1000000.0,7199.557856794634,51.83363333333335
23,24,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,1.9292492840877443e-06,-1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,-1.9292492840877443e-06,switch,switch_55_276,CLOSED,1000000.0,7199.557856794634,51.83363333333335
22,25,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,1.9292492840877443e-06,-1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,-1.9292492840877443e-06,switch,switch_195_256,CLOSED,1000000.0,7199.557856794634,51.83363333333335
25,26,5.0140611214819606e-05,2.197944601197572e-05,2.197944601197572e-05,5.0140611214819606e-05,2.197944601197572e-05,5.0140611214819606e-05,0.0006941841698782,0.0002316236758553,0.0002316236758553,0.0006941841698782,0.0002316236758553,0.0006941841698782,overhead_line,oh_line_256_197,,1000000.0,7199.557856794634,51.83363333333335
26,27,7.005430807503655e-06,3.0708737786317397e-06,0.0,7.005430807503655e-06,0.0,0.0,9.698843017511908e-05,3.236146499356711e-05,0.0,9.698843017511908e-05,0.0,0.0,overhead_line,oh_line_197_56,,1000000.0,7199.557856794634,51.83363333333335
27,28,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,0.0,switch,switch_56_277,CLOSED,1000000.0,7199.557856794634,51.83363333333335
26,29,0.0001085517694168,4.758433727860913e-05,4.758433727860913e-05,0.0001085517694168,4.758433727860913e-05,0.0001085517694168,0.001502871985716,0.000501452998752,0.000501452998752,0.001502871985716,0.000501452998752,0.001502871985716,overhead_line,oh_line_197_199,,1000000.0,7199.557856794634,51.83363333333335
29,30,6.967741388108888e-06,3.054352389308006e-06,0.0,6.967741388108888e-06,0.0,0.0,9.646662962897786e-05,3.2187359380381244e-05,0.0,9.646662962897786e-05,0.0,0.0,overhead_line,oh_line_199_58,,1000000.0,7199.557856794634,51.83363333333335
30,31,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,0.0,switch,switch_58_279,CLOSED,1000000.0,7199.557856794634,51.83363333333335
29,32,0.0001628629429446,7.139197498944612e-05,7.139197498944612e-05,0.0001628629429446,7.139197498944612e-05,0.0001628629429446,0.0022547965434166,0.0007523425142116,0.0007523425142116,0.0022547965434166,0.0007523425142116,0.0022547965434166,overhead_line,oh_line_199_210,,1000000.0,7199.557856794634,51.83363333333335
32,33,1.9292492840877443e-06,0.0,0.0,1.9292492840877443e-06,0.0,1.9292492840877443e-06,-1.9292492840877443e-06,0.0,0.0,-1.9292492840877443e-06,0.0,-1.9292492840877443e-06,switch,switch_210_92,CLOSED,1000000.0,7199.557856794634,51.83363333333335
33,34,0.0010830452822868,0.0001608860477802,0.0001608860477802,0.0010830452822868,0.0001608860477802,0.0010830452822868,0.0008043072843366,0.0003267517554268,0.0003267517554268,0.0008043072843366,0.0003267517554268,0.0008043072843366,overhead_line,oh_line_92_206,,1000000.0,7199.557856794634,51.83363333333335
34,35,0.0001956796563264,2.9068153522525645e-05,2.9068153522525645e-05,0.0001956796563264,2.9068153522525645e-05,0.0001956796563264,0.0001453185527455,5.903600916019251e-05,5.903600916019251e-05,0.0001453185527455,5.903600916019251e-05,0.0001453185527455,overhead_line,oh_line_206_63,,1000000.0,7199.557856794634,51.83363333333335
