fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base
103,71,0.0,0.0,0.0,2.2367551775058415e-05,0.0,0.0,0.0,0.0,0.0,9.897760384198886e-05,0.0,0.0,overhead_line,oh_line_103_71,,1000000.0,7199.557856794634,51.833633333333346
103,166,0.0,0.0,0.0,0.00024548203067985746,0.0,0.0,0.0,0.0,0.0,0.0010862710155901463,0.0,0.0,overhead_line,oh_line_103_166,,1000000.0,7199.557856794634,51.833633333333346
194,103,0.0,0.0,0.0,0.0008068581881636578,0.0,0.0,0.0,0.0,0.0,0.003570390309491923,0.0,0.0,overhead_line,oh_line_194_103,,1000000.0,7199.557856794634,51.833633333333346
261,105,9.137643693263626e-06,4.005542440882685e-06,4.005542440882685e-06,9.137643693263626e-06,4.005542440882685e-06,9.137643693263626e-06,0.00012650838209121148,4.221118509749635e-05,4.221118509749635e-05,0.00012650838209121148,4.221118509749635e-05,0.00012650838209121148,overhead_line,oh_line_261_105,,1000000.0,7199.557856794634,51.833633333333346
105,191,2.9028534853846783e-05,1.272483719620681e-05,1.272483719620681e-05,2.9028534853846783e-05,1.272483719620681e-05,2.9028534853846783e-05,0.0004018927747801985,0.00013409680864752662,0.00013409680864752662,0.0004018927747801985,0.00013409680864752662,0.0004018927747801985,overhead_line,oh_line_105_191,,1000000.0,7199.557856794634,51.833633333333346
87,106,1.4170533301210355e-05,4.181962057045095e-06,4.181962057045095e-06,1.4170533301210355e-05,4.181962057045095e-06,1.4170533301210355e-05,6.270536200930493e-05,2.0296054702752666e-05,2.0296054702752666e-05,6.270536200930493e-05,2.0296054702752666e-05,6.270536200930493e-05,overhead_line,oh_line_87_106,,1000000.0,7199.557856794634,51.833633333333346
187,50,3.6362545314704107e-05,0.0,0.0,0.0,0.0,0.0,0.00016090619308897303,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_187_50,,1000000.0,7199.557856794634,51.833633333333346
188,52,3.1814860805541075e-05,0.0,0.0,0.0,0.0,0.0,0.00014078244775139853,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_188_52,,1000000.0,7199.557856794634,51.833633333333346
109,104,0.0,0.0,0.0,0.000213806172650623,0.0,0.0,0.0,0.0,0.0,0.000697553174056461,0.0,0.0,overhead_line,oh_line_109_104,,1000000.0,7199.557856794634,51.833633333333346
190,109,0.0,0.0,0.0,0.0007763445274417878,0.0,0.0,0.0,0.0,0.0,0.0025328622769152046,0.0,0.0,overhead_line,oh_line_190_109,,1000000.0,7199.557856794634,51.833633333333346
109,12,0.0,0.0,0.0,0.0001304016078772768,0.0,0.0,0.0,0.0,0.0,9.684079218132554e-05,0.0,0.0,overhead_line,oh_line_109_12,,1000000.0,7199.557856794634,51.833633333333346
190,39,0.0,0.0,0.0,5.210712131803503e-05,0.0,0.0,0.0,0.0,0.0,0.00017000205099660631,0.0,0.0,overhead_line,oh_line_190_39,,1000000.0,7199.557856794634,51.833633333333346
166,190,0.0,0.0,0.0,0.0005014332001966196,0.0,0.0,0.0,0.0,0.0,0.0016359505248990372,0.0,0.0,overhead_line,oh_line_166_190,,1000000.0,7199.557856794634,51.833633333333346
191,40,7.302865142727321e-06,0.0,0.0,0.0,0.0,0.0,0.00010110633384817003,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_191_40,,1000000.0,7199.557856794634,51.833633333333346
193,53,6.610292053848971e-06,0.0,0.0,0.0,0.0,0.0,9.151783336653005e-05,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_193_53,,1000000.0,7199.557856794634,51.833633333333346
194,54,0.0,0.0,0.0,3.417432171833673e-05,0.0,0.0,0.0,0.0,0.0,0.00015122318752729813,0.0,0.0,overhead_line,oh_line_194_54,,1000000.0,7199.557856794634,51.833633333333346
195,55,6.259324339484967e-06,2.7438134090893007e-06,2.7438134090893007e-06,6.259324339484967e-06,2.7438134090893007e-06,6.259324339484967e-06,8.665877350373709e-05,2.891483922425704e-05,2.891483922425704e-05,8.665877350373709e-05,2.891483922425704e-05,8.665877350373709e-05,overhead_line,oh_line_195_55,,1000000.0,7199.557856794634,51.833633333333346
90,194,0.0,0.0,0.0,0.00039746934707890307,0.0,0.0,0.0,0.0,0.0,0.001758822957923248,0.0,0.0,overhead_line,oh_line_90_194,,1000000.0,7199.557856794634,51.833633333333346
197,56,7.005430807503655e-06,3.0708737786317393e-06,0.0,7.005430807503655e-06,0.0,0.0,9.698843017511909e-05,3.236146499356711e-05,0.0,9.698843017511909e-05,0.0,0.0,overhead_line,oh_line_197_56,,1000000.0,7199.557856794634,51.833633333333346
81,225,1.0756112840972155e-05,3.174309309756114e-06,3.174309309756114e-06,1.0756112840972155e-05,3.174309309756114e-06,1.0756112840972155e-05,4.7596370240242385e-05,1.5405676693248015e-05,1.5405676693248015e-05,4.7596370240242385e-05,1.5405676693248015e-05,4.7596370240242385e-05,overhead_line,oh_line_81_225,,1000000.0,7199.557856794634,51.833633333333346
200,57,1.122976655966738e-05,0.0,0.0,0.0,0.0,0.0,0.00015547329775758676,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_200_57,,1000000.0,7199.557856794634,51.833633333333346
199,58,6.967741388108888e-06,3.054352389308006e-06,0.0,6.967741388108888e-06,0.0,0.0,9.646662962897786e-05,3.2187359380381244e-05,0.0,9.646662962897786e-05,0.0,0.0,overhead_line,oh_line_199_58,,1000000.0,7199.557856794634,51.833633333333346
201,41,3.567587507093644e-05,0.0,0.0,0.0,0.0,0.0,0.00015786764081283594,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_201_41,,1000000.0,7199.557856794634,51.833633333333346
202,201,0.00011257950041680551,3.322409884912095e-05,3.322409884912095e-05,0.00011257950041680551,3.322409884912095e-05,0.00011257950041680551,0.0004981702649017114,0.00016124443945048195,0.00016124443945048195,0.0004981702649017114,0.00016124443945048195,0.0004981702649017114,overhead_line,oh_line_202_201,,1000000.0,7199.557856794634,51.833633333333346
203,59,0.00019840252532300453,2.9472634885071394e-05,2.9472634885071394e-05,0.00019840252532300453,2.9472634885071394e-05,0.00019840252532300453,0.00014734065043996524,5.985749117850763e-05,5.985749117850763e-05,0.00014734065043996524,5.985749117850763e-05,0.00014734065043996524,overhead_line,oh_line_203_59,,1000000.0,7199.557856794634,51.833633333333346
82,226,1.0756112840972155e-05,3.174309309756114e-06,3.174309309756114e-06,1.0756112840972155e-05,3.174309309756114e-06,1.0756112840972155e-05,4.7596370240242385e-05,1.5405676693248015e-05,1.5405676693248015e-05,4.7596370240242385e-05,1.5405676693248015e-05,4.7596370240242385e-05,overhead_line,oh_line_82_226,,1000000.0,7199.557856794634,51.833633333333346
84,202,7.051191285124977e-05,2.08092481662924e-05,2.08092481662924e-05,7.051191285124977e-05,2.08092481662924e-05,7.051191285124977e-05,0.00031201895703731377,0.00010099222167612124,0.00010099222167612124,0.00031201895703731377,0.00010099222167612124,0.00031201895703731377,overhead_line,oh_line_84_202,,1000000.0,7199.557856794634,51.833633333333346
204,203,0.0008147622230949963,0.00012103268081055828,0.00012103268081055828,0.0008147622230949963,0.00012103268081055828,0.0008147622230949963,0.0006050709067804868,0.0002458115011494525,0.0002458115011494525,0.0006050709067804868,0.0002458115011494525,0.0006050709067804868,overhead_line,oh_line_204_203,,1000000.0,7199.557856794634,51.833633333333346
204,61,0.00019419913654109805,2.8848222758020863e-05,2.8848222758020863e-05,0.00019419913654109805,2.8848222758020863e-05,0.00019419913654109805,0.00014421906700159992,5.858934045047034e-05,5.858934045047034e-05,0.00014421906700159992,5.858934045047034e-05,0.00014421906700159992,overhead_line,oh_line_204_61,,1000000.0,7199.557856794634,51.833633333333346
205,62,0.0,0.0,0.0,0.00015113491706478864,0.0,0.0,0.0,0.0,0.0,0.00014648304761346304,0.0,0.0,overhead_line,oh_line_205_62,,1000000.0,7199.557856794634,51.833633333333346
206,204,0.0011056006793646734,0.00016423664516645003,0.00016423664516645003,0.0011056006793646734,0.00016423664516645003,0.0011056006793646734,0.0008210577106276905,0.0003335566561175705,0.0003335566561175705,0.0008210577106276905,0.0003335566561175705,0.0008210577106276905,overhead_line,oh_line_206_204,,1000000.0,7199.557856794634,51.833633333333346
206,63,0.0001956796563264556,2.9068153522525645e-05,2.9068153522525645e-05,0.0001956796563264556,2.9068153522525645e-05,0.0001956796563264556,0.0001453185527455877,5.903600916019251e-05,5.903600916019251e-05,0.0001453185527455877,5.903600916019251e-05,0.0001453185527455877,overhead_line,oh_line_206_63,,1000000.0,7199.557856794634,51.833633333333346
207,64,2.545412591590378e-05,7.511939495351647e-06,7.511939495351647e-06,2.545412591590378e-05,7.511939495351647e-06,2.545412591590378e-05,0.00011263585824612881,3.645722578103756e-05,3.645722578103756e-05,0.00011263585824612881,3.645722578103756e-05,0.00011263585824612881,overhead_line,oh_line_207_64,,1000000.0,7199.557856794634,51.833633333333346
209,102,3.7416471179149546e-05,1.6401740790860076e-05,1.6401740790860076e-05,3.7416471179149546e-05,1.6401740790860076e-05,3.7416471179149546e-05,0.000518021646644664,0.00017284473368145949,0.00017284473368145949,0.000518021646644664,0.00017284473368145949,0.000518021646644664,overhead_line,oh_line_209_102,,1000000.0,7199.557856794634,51.833633333333346
92,206,0.001083045282286878,0.00016088604778025542,0.00016088604778025542,0.001083045282286878,0.00016088604778025542,0.001083045282286878,0.0008043072843366763,0.00032675175542684664,0.00032675175542684664,0.0008043072843366763,0.00032675175542684664,0.0008043072843366763,overhead_line,oh_line_92_206,,1000000.0,7199.557856794634,51.833633333333346
214,65,8.472917563938095e-06,3.714155644466015e-06,3.714155644466015e-06,8.472917563938095e-06,3.714155644466015e-06,8.472917563938095e-06,0.00011730541577105164,3.9140494378313726e-05,3.9140494378313726e-05,0.00011730541577105164,3.9140494378313726e-05,0.00011730541577105164,overhead_line,oh_line_214_65,,1000000.0,7199.557856794634,51.833633333333346
216,66,7.220044444057293e-06,3.1649509891757997e-06,3.1649509891757997e-06,7.220044444057293e-06,3.1649509891757997e-06,7.220044444057293e-06,9.995970207480234e-05,3.335286893107136e-05,3.335286893107136e-05,9.995970207480234e-05,3.335286893107136e-05,9.995970207480234e-05,overhead_line,oh_line_216_66,,1000000.0,7199.557856794634,51.833633333333346
95,67,0.0,0.0,0.0,0.0021826981343399414,0.0,0.0,0.0,0.0,0.0,0.0016209479304972157,0.0,0.0,overhead_line,oh_line_95_67,,1000000.0,7199.557856794634,51.833633333333346
203,60,0.0,0.0,0.0,0.0,0.0,0.0013794797771266916,0.0,0.0,0.0,0.0,0.0,0.0014025161608974025,overhead_line,oh_line_203_60,,1000000.0,7199.557856794634,51.833633333333346
259,163,3.0007499518126137e-06,1.3153972391507348e-06,1.3153972391507348e-06,3.0007499518126137e-06,1.3153972391507348e-06,3.0007499518126137e-06,4.154462946984404e-05,1.3861911877855833e-05,1.3861911877855833e-05,4.154462946984404e-05,1.3861911877855833e-05,4.154462946984404e-05,overhead_line,oh_line_259_163,,1000000.0,7199.557856794634,51.833633333333346
91,224,5.2659341521496005e-05,1.0455698034837445e-05,1.0455698034837445e-05,5.2659341521496005e-05,1.0455698034837445e-05,5.2659341521496005e-05,5.103850904341447e-05,1.9556273833901803e-05,1.9556273833901803e-05,5.103850904341447e-05,1.9556273833901803e-05,5.103850904341447e-05,overhead_line,oh_line_91_224,,1000000.0,7199.557856794634,51.833633333333346
196,198,7.11610686965331e-05,2.646429801429386e-05,2.646429801429386e-05,7.11610686965331e-05,2.646429801429386e-05,7.11610686965331e-05,0.0006511986133491538,0.00021463974353495404,0.00021463974353495404,0.0006511986133491538,0.00021463974353495404,0.0006511986133491538,overhead_line,oh_line_196_198,,1000000.0,7199.557856794634,51.833633333333346
200,196,0.0004967766647389762,0.00014660712611192718,0.00014660712611192718,0.0004967766647389762,0.00014660712611192718,0.0004967766647389762,0.0021982631096581196,0.0007115191890295399,0.0007115191890295399,0.0021982631096581196,0.0007115191890295399,0.0021982631096581196,overhead_line,oh_line_200_196,,1000000.0,7199.557856794634,51.833633333333346
83,165,5.2830949706868095e-06,1.964745643974349e-06,1.964745643974349e-06,5.2830949706868095e-06,1.964745643974349e-06,5.2830949706868095e-06,4.834587481779555e-05,1.5935147832234114e-05,1.5935147832234114e-05,4.834587481779555e-05,1.5935147832234114e-05,4.834587481779555e-05,overhead_line,oh_line_83_165,,1000000.0,7199.557856794634,51.833633333333346
205,200,0.00024069168826500203,7.10321542862745e-05,7.10321542862745e-05,0.00024069168826500203,7.10321542862745e-05,0.00024069168826500203,0.0010650734961399518,0.0003447359085001494,0.0003447359085001494,0.0010650734961399518,0.0003447359085001494,0.0010650734961399518,overhead_line,oh_line_205_200,,1000000.0,7199.557856794634,51.833633333333346
207,205,0.00015389071812738406,4.541573210128745e-05,4.541573210128745e-05,0.00015389071812738406,4.541573210128745e-05,0.00015389071812738406,0.000680974596010815,0.00022041333003977346,0.00022041333003977346,0.000680974596010815,0.00022041333003977346,0.000680974596010815,overhead_line,oh_line_207_205,,1000000.0,7199.557856794634,51.833633333333346
85,207,9.904572899578069e-05,2.9230055903213417e-05,2.9230055903213417e-05,9.904572899578069e-05,2.9230055903213417e-05,9.904572899578069e-05,0.0004382826080106288,0.00014186040080796955,0.00014186040080796955,0.0004382826080106288,0.00014186040080796955,0.0004382826080106288,overhead_line,oh_line_85_207,,1000000.0,7199.557856794634,51.833633333333346
93,209,4.031375527262366e-05,1.7671783133204895e-05,1.7671783133204895e-05,4.031375527262366e-05,1.7671783133204895e-05,4.031375527262366e-05,0.000558133817290388,0.00018622868683776687,0.00018622868683776687,0.000558133817290388,0.00018622868683776687,0.000558133817290388,overhead_line,oh_line_93_209,,1000000.0,7199.557856794634,51.833633333333346
184,185,2.6368189976567798e-05,1.1558658619865336e-05,1.1558658619865336e-05,2.6368189976567798e-05,1.1558658619865336e-05,2.6368189976567798e-05,0.00036506096807741354,0.00012180739205309478,0.00012180739205309478,0.00036506096807741354,0.00012180739205309478,0.00036506096807741354,overhead_line,oh_line_184_185,,1000000.0,7199.557856794634,51.833633333333346
185,101,0.0001093936598233076,4.7953385128025255e-05,4.7953385128025255e-05,0.0001093936598233076,4.7953385128025255e-05,0.0001093936598233076,0.0015145277469601312,0.0005053420967484606,0.0005053420967484606,0.0015145277469601312,0.0005053420967484606,0.0015145277469601312,overhead_line,oh_line_185_101,,1000000.0,7199.557856794634,51.833633333333346
249,184,4.762238185525847e-05,2.0875564648880427e-05,2.0875564648880427e-05,4.762238185525847e-05,2.0875564648880427e-05,4.762238185525847e-05,0.0006593199168271401,0.00021999075940747255,0.00021999075940747255,0.0006593199168271401,0.00021999075940747255,0.0006593199168271401,overhead_line,oh_line_249_184,,1000000.0,7199.557856794634,51.833633333333346
186,187,4.651234443308394e-05,2.0388972902173787e-05,2.0388972902173787e-05,4.651234443308394e-05,2.0388972902173787e-05,4.651234443308394e-05,0.0006439517274936554,0.0002148629609656161,0.0002148629609656161,0.0006439517274936554,0.0002148629609656161,0.0006439517274936554,overhead_line,oh_line_186_187,,1000000.0,7199.557856794634,51.833633333333346
187,188,0.00025939442823452806,0.00011370714662335479,0.00011370714662335479,0.00025939442823452806,0.00011370714662335479,0.00025939442823452806,0.0035912507141876216,0.0011982680208398673,0.0011982680208398673,0.0035912507141876216,0.0011982680208398673,0.0035912507141876216,overhead_line,oh_line_187_188,,1000000.0,7199.557856794634,51.833633333333346
