# output/output_current.csv run at 2001-08-01 12:00:00 PDT on 991 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
oh_line_103_71,0.000000,0.000000,-0.331592,-0.303777,0.000000,0.000000
oh_line_103_166,0.000000,0.000000,-0.605785,-0.507909,0.000000,0.000000
oh_line_194_103,0.000000,0.000000,-0.937377,-0.811687,0.000000,0.000000
oh_line_261_105,77.669879,-24.516150,-62.911404,-57.629637,-17.574806,79.202380
oh_line_105_191,74.935884,-23.664887,-60.714445,-55.597545,-16.932811,76.365176
oh_line_87_106,2.733996,-0.851263,-2.196959,-2.032092,-0.641995,2.837203
oh_line_187_50,0.409966,-0.126756,0.000000,0.000000,0.000000,0.000000
oh_line_188_52,0.683351,-0.212227,0.000000,0.000000,0.000000,0.000000
oh_line_109_104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_190_109,0.000000,0.000000,-0.022106,-0.020252,0.000000,0.000000
oh_line_109_12,0.000000,0.000000,-0.022106,-0.020252,0.000000,0.000000
oh_line_190_39,0.000000,0.000000,-0.583679,-0.487657,0.000000,0.000000
oh_line_166_190,0.000000,0.000000,-0.605785,-0.507909,0.000000,0.000000
oh_line_191_40,0.410089,-0.127738,0.000000,0.000000,0.000000,0.000000
oh_line_193_53,0.410112,-0.128037,0.000000,0.000000,0.000000,0.000000
oh_line_194_54,0.000000,0.000000,-0.221053,-0.202521,0.000000,0.000000
oh_line_195_55,0.683547,-0.213761,-0.550199,-0.507507,-0.159662,0.709786
oh_line_90_194,0.000000,0.000000,-1.158430,-1.014208,0.000000,0.000000
oh_line_197_56,0.546848,-0.171148,-0.440303,-0.405932,0.000000,0.000000
oh_line_81_225,2.735216,-0.863509,-2.209711,-2.026023,-0.631355,2.844100
oh_line_200_57,0.410225,-0.129612,0.000000,0.000000,0.000000,0.000000
oh_line_199_58,0.546868,-0.171446,-0.440612,-0.405776,0.000000,0.000000
oh_line_201_41,0.136760,-0.043175,0.000000,0.000000,0.000000,0.000000
oh_line_202_201,2.871975,-0.906684,-2.209711,-2.026023,-0.631355,2.844100
oh_line_203_59,0.410186,-0.128925,-0.330819,-0.304171,-0.095204,0.426258
oh_line_82_226,2.735214,-0.863490,-2.209694,-2.026032,-0.631370,2.844091
oh_line_84_202,5.607189,-1.770174,-4.419405,-4.052055,-1.262725,5.688191
oh_line_204_203,0.410186,-0.128925,-0.330819,-0.304171,-0.253876,1.136694
oh_line_204_61,1.367287,-0.429750,-1.102729,-1.013901,-0.317348,1.420850
oh_line_205_62,0.000000,0.000000,-0.331519,-0.303798,0.000000,0.000000
oh_line_206_204,1.777473,-0.558675,-1.433548,-1.318072,-0.571224,2.557544
oh_line_206_63,1.367272,-0.429741,-1.102712,-1.013887,-0.317349,1.420820
oh_line_207_64,0.683699,-0.215990,-0.552512,-0.506336,-0.157668,0.710995
oh_line_209_102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_92_206,3.144746,-0.988417,-2.536260,-2.331958,-0.888574,3.978364
oh_line_214_65,1.367320,-0.430899,-1.103884,-1.013248,-0.316306,1.421407
oh_line_216_66,0.410189,-0.129165,-0.331058,-0.304029,-0.094985,0.426365
oh_line_95_67,0.000000,0.000000,-0.330914,-0.304106,0.000000,0.000000
oh_line_203_60,0.000000,0.000000,0.000000,0.000000,-0.158672,0.710436
oh_line_259_163,96.613874,-30.290047,-77.017994,-70.864133,-21.583935,96.395648
oh_line_91_224,0.413204,-0.127226,-0.329965,-0.301999,-0.093672,0.430244
oh_line_196_198,4.971563,-1.567873,-4.014478,-3.677456,-1.301769,5.882062
oh_line_200_196,4.971563,-1.567873,-5.172908,-4.691664,-1.301769,5.882062
oh_line_83_165,4.558359,-1.440647,-3.684513,-3.375457,-1.208097,5.451818
oh_line_205_200,5.381788,-1.697485,-5.172908,-4.691664,-1.301769,5.882062
oh_line_207_205,5.381788,-1.697485,-5.504427,-4.995462,-1.301769,5.882062
oh_line_85_207,6.065487,-1.913475,-6.056938,-5.501798,-1.459437,6.593058
oh_line_93_209,6.065487,-1.913475,-6.056938,-5.501798,-1.459437,6.593058
oh_line_184_185,78.763196,-24.855133,-62.911404,-57.629637,-17.574806,79.202380
oh_line_185_101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_249_184,80.129712,-25.276834,-64.005841,-58.647490,-17.899054,80.618706
oh_line_186_187,78.763196,-24.855133,-62.911404,-57.629637,-17.574806,79.202380
oh_line_187_188,78.353230,-24.728377,-62.911404,-57.629637,-17.574806,79.202380
oh_line_260_218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_191_193,74.525794,-23.537149,-60.714445,-55.597545,-16.932811,76.365176
oh_line_193_195,74.115683,-23.409112,-60.714445,-55.597545,-16.932811,76.365176
oh_line_256_197,73.432136,-23.195351,-60.164246,-55.090038,-16.773150,75.655390
oh_line_197_199,72.885288,-23.024202,-59.723944,-54.684106,-16.773150,75.655390
oh_line_199_210,72.338420,-22.852756,-59.283332,-54.278330,-16.773150,75.655390
oh_line_86_97,1.777536,-0.560277,-1.435167,-1.317178,-0.474357,2.132196
oh_line_213_211,56.886214,-17.981026,-47.138198,-43.132432,-13.167926,59.449458
oh_line_215_213,65.638629,-20.743999,-53.546048,-49.007811,-14.998928,67.697058
oh_line_214_215,67.416165,-21.304276,-54.981215,-50.324989,-15.473285,69.829254
oh_line_216_214,68.783485,-21.735175,-56.085099,-51.338237,-15.789591,71.250661
oh_line_210_217,69.193674,-21.864339,-56.747071,-51.946372,-15.884576,71.677027
oh_line_211_219,50.820726,-16.067551,-41.081259,-37.630634,-11.708490,52.856400
oh_line_74_98,18.909532,-5.977908,-15.285095,-14.002036,-4.357044,19.666696
oh_line_219_220,31.911194,-10.089643,-25.796164,-23.628597,-7.351446,33.189704
oh_line_77_99,18.235445,-5.765735,-14.741138,-13.502400,-4.200873,18.966103
oh_line_75_100,13.675748,-4.323907,-11.055026,-10.126197,-3.150573,14.223601
oh_line_254_222,13.675748,-4.323907,-11.055026,-10.126197,-3.150573,14.223601
oh_line_251_189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_217_216,69.193674,-21.864339,-56.416157,-51.642266,-15.884576,71.677027
oh_line_252_212,77.669879,-24.516150,-62.911404,-57.629637,-17.574806,79.202380
