# output/output_voltage.csv run at 2001-08-01 12:00:00 PDT on 991 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
load_268_p,0.000000,0.000000,7462.475258,4.171326,0.000000,0.000000
load_268_q,0.000000,0.000000,7462.475258,4.171326,0.000000,0.000000
load_269_p,7485.642704,-0.009916,0.000000,0.000000,0.000000,0.000000
load_269_q,7485.642704,-0.009916,0.000000,0.000000,0.000000,0.000000
load_270_p,7481.898664,-0.011175,0.000000,0.000000,0.000000,0.000000
load_270_q,7481.898664,-0.011175,0.000000,0.000000,0.000000,0.000000
load_271_p,0.000000,0.000000,7462.408611,4.171313,0.000000,0.000000
load_271_q,0.000000,0.000000,7462.408611,4.171313,0.000000,0.000000
load_272_p,0.000000,0.000000,7462.406987,4.171312,0.000000,0.000000
load_272_q,0.000000,0.000000,7462.406987,4.171312,0.000000,0.000000
load_273_p,7478.514121,-0.012013,0.000000,0.000000,0.000000,0.000000
load_273_q,7478.514121,-0.012013,0.000000,0.000000,0.000000,0.000000
load_274_p,7476.589197,-0.012663,0.000000,0.000000,0.000000,0.000000
load_274_q,7476.589197,-0.012663,0.000000,0.000000,0.000000,0.000000
load_275_p,0.000000,0.000000,7462.595858,4.171353,0.000000,0.000000
load_275_q,0.000000,0.000000,7462.595858,4.171353,0.000000,0.000000
load_276_p,7475.177591,-0.013140,7472.324110,4.174734,7480.175776,2.081240
load_276_q,7475.177591,-0.013140,7472.324110,4.174734,7480.175776,2.081240
load_277_p,7474.508140,-0.013366,7471.623846,4.174482,0.000000,0.000000
load_277_q,7474.508140,-0.013366,7471.623846,4.174482,0.000000,0.000000
load_278_p,7466.505134,-0.016079,0.000000,0.000000,0.000000,0.000000
load_278_q,7466.505134,-0.016079,0.000000,0.000000,0.000000,0.000000
load_279_p,7473.087531,-0.013852,7470.109600,4.173941,0.000000,0.000000
load_279_q,7473.087531,-0.013852,7470.109600,4.173941,0.000000,0.000000
load_280_p,7466.075722,-0.015848,0.000000,0.000000,0.000000,0.000000
load_280_q,7466.075722,-0.015848,0.000000,0.000000,0.000000,0.000000
load_281_p,7470.740441,-0.014584,7467.519907,4.173134,7475.940886,2.079722
load_281_q,7470.740441,-0.014584,7467.519907,4.173134,7475.940886,2.079722
load_282_p,7470.738036,-0.014583,7467.531099,4.173133,7475.984570,2.079724
load_282_q,7470.738036,-0.014583,7467.531099,4.173133,7475.984570,2.079724
load_283_p,0.000000,0.000000,7463.141264,4.171471,0.000000,0.000000
load_283_q,0.000000,0.000000,7463.141264,4.171471,0.000000,0.000000
load_284_p,7470.824780,-0.014580,7467.641513,4.173134,7476.134216,2.079729
load_284_q,7470.824780,-0.014580,7467.641513,4.173134,7476.134216,2.079729
load_285_p,7466.693057,-0.016043,7463.247859,4.171494,7472.513803,2.078205
load_285_q,7466.693057,-0.016043,7463.247859,4.171494,7472.513803,2.078205
load_286_p,7468.776207,-0.015340,7465.491248,4.172290,7474.358888,2.078942
load_286_q,7468.776207,-0.015340,7465.491248,4.172290,7474.358888,2.078942
load_287_p,7469.436806,-0.015112,7466.189737,4.172542,7474.959209,2.079178
load_287_q,7469.436806,-0.015112,7466.189737,4.172542,7474.959209,2.079178
load_288_p,0.000000,0.000000,7467.087174,4.172883,0.000000,0.000000
load_288_q,0.000000,0.000000,7467.087174,4.172883,0.000000,0.000000
load_289_p,0.000000,0.000000,0.000000,0.000000,7475.880086,2.079717
load_289_q,0.000000,0.000000,0.000000,0.000000,7475.880086,2.079717
load_290_p,0.000000,0.000000,0.000000,0.000000,7471.605491,2.078052
load_290_q,0.000000,0.000000,0.000000,0.000000,7471.605491,2.078052
load_291_p,7520.089341,-0.006580,7518.861637,4.181803,7522.609302,2.087857
load_291_q,7520.089341,-0.006580,7518.861637,4.181803,7522.609302,2.087857
load_292_p,7509.555177,-0.007243,7507.915820,4.181102,7512.435670,2.087186
load_292_q,7509.555177,-0.007243,7507.915820,4.181102,7512.435670,2.087186
load_293_p,7496.808486,-0.008051,0.000000,0.000000,0.000000,0.000000
load_293_q,7496.808486,-0.008051,0.000000,0.000000,0.000000,0.000000
load_294_p,7466.026138,-0.015843,7462.737855,4.171742,7471.852226,2.078430
load_294_q,7466.026138,-0.015843,7462.737855,4.171742,7471.852226,2.078430
load_295_p,7464.705486,-0.016268,7461.166431,4.171266,7470.477097,2.077975
load_295_q,7464.705486,-0.016268,7461.166431,4.171266,7470.477097,2.077975
load_296_p,7478.594716,-0.011899,7475.861051,4.176111,7483.145978,2.082509
load_296_q,7478.594716,-0.011899,7475.861051,4.176111,7483.145978,2.082509
load_297_p,7491.148028,-0.008409,0.000000,0.000000,0.000000,0.000000
load_297_q,7491.148028,-0.008409,0.000000,0.000000,0.000000,0.000000
load_298_p,7558.796633,-0.000115,7558.698636,4.188664,7558.800881,2.094278
load_298_q,7558.796633,-0.000115,7558.698636,4.188664,7558.800881,2.094278
load_299_p,7558.162324,-0.000161,7557.829479,4.188611,7557.961182,2.094219
load_299_q,7558.162324,-0.000161,7557.829479,4.188611,7557.961182,2.094219
load_300_p,7558.844537,-0.000113,0.000000,0.000000,0.000000,0.000000
load_300_q,7558.844537,-0.000113,0.000000,0.000000,0.000000,0.000000
load_301_p,7558.142478,-0.000162,7557.808271,4.188610,7557.940840,2.094217
load_301_q,7558.142478,-0.000162,7557.808271,4.188610,7557.940840,2.094217
load_302_p,0.000000,0.000000,0.000000,0.000000,7557.287655,2.094180
load_302_q,0.000000,0.000000,0.000000,0.000000,7557.287655,2.094180
load_303_p,0.000000,0.000000,0.000000,0.000000,7557.624030,2.094199
load_303_q,0.000000,0.000000,0.000000,0.000000,7557.624030,2.094199
load_304_p,7557.777478,-0.000192,7557.447538,4.188590,7557.283227,2.094181
load_304_q,7557.777478,-0.000192,7557.447538,4.188590,7557.283227,2.094181
load_305_p,0.000000,0.000000,7557.915978,4.188617,0.000000,0.000000
load_305_q,0.000000,0.000000,7557.915978,4.188617,0.000000,0.000000
load_306_p,7557.888021,-0.000179,7557.552839,4.188598,7557.533014,2.094197
load_306_q,7557.888021,-0.000179,7557.552839,4.188598,7557.533014,2.094197
load_307_p,0.000000,0.000000,7558.365454,4.188647,0.000000,0.000000
load_307_q,0.000000,0.000000,7558.365454,4.188647,0.000000,0.000000
load_308_p,7487.086464,-0.009375,7484.539488,4.178835,7490.858441,2.085037
load_308_q,7487.086464,-0.009375,7484.539488,4.178835,7490.858441,2.085037
