# file...... output/inv_275_meter.csv
# date...... Fri Jan 19 16:25:08 2024
# user...... nathangray
# host...... (null)
# target.... meter 941
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A,measured_power_B,measured_power_C
2001-08-01 12:00:00 PDT,+0+0.000000000000j,-2145.07436804-0.000746005490j,+0+0.000000000000j
2001-08-01 12:00:01 PDT,+0+0.000000000000j,-2145.07436186+0.000014670998j,+0+0.000000000000j
2001-08-01 12:00:02 PDT,+0+0.000000000000j,-2145.07434998-0.000000511346j,+0+0.000000000000j
2001-08-01 12:00:03 PDT,+0+0.000000000000j,-2145.07435001+0.000000011248j,+0+0.000000000000j
2001-08-01 12:00:04 PDT,+0+0.000000000000j,-2145.07435-0.000000000395j,+0+0.000000000000j
2001-08-01 12:00:05 PDT,+0+0.000000000000j,-2145.07435+0.000000000009j,+0+0.000000000000j
2001-08-01 12:00:06 PDT,+0+0.000000000000j,-2145.07435+0.000000000000j,+0+0.000000000000j
2001-08-01 12:00:07 PDT,+0+0.000000000000j,-2145.07435+0.000000000000j,+0+0.000000000000j
2001-08-01 12:00:08 PDT,+0+0.000000000000j,-2145.07438706-0.000096592996j,+0+0.000000000000j
2001-08-01 12:00:09 PDT,+0+0.000000000000j,-2145.07435247+0.000000860597j,+0+0.000000000000j
2001-08-01 12:00:10 PDT,+0+0.000000000000j,-2145.0742409-1271.291176213895j,+0+0.000000000000j
2001-08-01 12:00:11 PDT,+0+0.000000000000j,-2145.07435473-1271.290991601560j,+0+0.000000000000j
2001-08-01 12:00:12 PDT,+0+0.000000000000j,-2145.07434995-1271.290990911330j,+0+0.000000000000j
2001-08-01 12:00:13 PDT,+0+0.000000000000j,-2145.07435-1271.290990816978j,+0+0.000000000000j
2001-08-01 12:00:14 PDT,+0+0.000000000000j,-2145.07435-1271.290990816695j,+0+0.000000000000j
2001-08-01 12:00:15 PDT,+0+0.000000000000j,-2145.07435-1271.290990816641j,+0+0.000000000000j
2001-08-01 12:00:16 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:17 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:18 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:19 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:20 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:21 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:22 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:23 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:24 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:25 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:26 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:27 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:28 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:29 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:30 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:31 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:32 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:33 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:34 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:35 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:36 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:37 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:38 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:39 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:40 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:41 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:42 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:43 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:44 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:45 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:46 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:47 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:48 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:49 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:50 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:51 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
2001-08-01 12:00:52 PDT,+0+0.000000000000j,-2145.07435-1271.290990816640j,+0+0.000000000000j
