# file...... output/inv_323_meter.csv
# date...... Fri Jan 19 16:25:08 2024
# user...... nathangray
# host...... (null)
# target.... meter 1037
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A,measured_power_B,measured_power_C
2001-08-01 12:00:00 PDT,-34201.2562742-0.008704527275j,-35751.2394808-0.012477516944j,-34773.483603-0.009010373777j
2001-08-01 12:00:01 PDT,-34201.2540017+0.000102067853j,-35751.2393478+0.000245883870j,-34773.4825268+0.000126686147j
2001-08-01 12:00:02 PDT,-34201.253852-0.000003546510j,-35751.2391498-0.000008554491j,-34773.4823503-0.000004296899j
2001-08-01 12:00:03 PDT,-34201.2538501+0.000000015217j,-35751.2391501+0.000000188475j,-34773.4823501+0.000000057978j
2001-08-01 12:00:04 PDT,-34201.25385-0.000000000491j,-35751.23915-0.000000006612j,-34773.48235-0.000000001968j
2001-08-01 12:00:05 PDT,-34201.25385-0.000000000039j,-35751.23915+0.000000000149j,-34773.48235+0.000000000027j
2001-08-01 12:00:06 PDT,-34201.25385+0.000000000002j,-35751.23915-0.000000000004j,-34773.48235+0.000000000000j
2001-08-01 12:00:07 PDT,-34201.25385+0.000000000000j,-35751.23915+0.000000000002j,-34773.48235-0.000000000004j
2001-08-01 12:00:08 PDT,-34201.2543321-0.001237579900j,-35751.2397744-0.001613652170j,-34773.4826393-0.000849205022j
2001-08-01 12:00:09 PDT,-34201.2538735+0.000014618825j,-35751.2391913+0.000014510817j,-34773.482365+0.000003068446j
2001-08-01 12:00:10 PDT,-34201.2529439-20408.360551979196j,-35751.2373326-21188.184206982107j,-34773.4810311-20691.845792764165j
2001-08-01 12:00:11 PDT,-34201.2538798-20408.358848610780j,-35751.2392291-21188.181114066960j,-34773.4823922-20691.843861567620j
2001-08-01 12:00:12 PDT,-34201.2538499-20408.358845536815j,-35751.2391491-21188.181102716859j,-34773.4823495-20691.843846883108j
2001-08-01 12:00:13 PDT,-34201.25385-20408.358845167637j,-35751.23915-21188.181101136008j,-34773.48235-20691.843846238597j
2001-08-01 12:00:14 PDT,-34201.25385-20408.358845169128j,-35751.23915-21188.181101131398j,-34773.48235-20691.843846230520j
2001-08-01 12:00:15 PDT,-34201.25385-20408.358845169223j,-35751.23915-21188.181101130496j,-34773.48235-20691.843846230309j
2001-08-01 12:00:16 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:17 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:18 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:19 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:20 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:21 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:22 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:23 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:24 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:25 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:26 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:27 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:28 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:29 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:30 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
2001-08-01 12:00:31 PDT,-34201.25385-20408.358845169234j,-35751.23915-21188.181101130489j,-34773.48235-20691.843846230306j
