# output/output_current.csv run at 2001-08-01 12:00:00 PDT on 1053 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
oh_line_103_71,0.000000,0.000000,-0.450071,-0.243670,0.000000,0.000000
oh_line_103_166,0.000000,0.000000,-0.843532,-0.384393,0.000000,0.000000
oh_line_194_103,0.000000,0.000000,-1.293603,-0.628063,0.000000,0.000000
oh_line_261_105,78.971732,-48.659075,-85.411799,-46.213768,2.576479,92.311562
oh_line_105_191,76.192271,-46.961447,-82.429385,-44.580203,2.498355,89.005876
oh_line_87_106,2.779461,-1.697628,-2.982414,-1.633565,0.078124,3.305686
oh_line_187_50,0.416740,-0.253413,0.000000,0.000000,0.000000,0.000000
oh_line_188_52,0.694669,-0.423630,0.000000,0.000000,0.000000,0.000000
oh_line_109_104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_190_109,0.000000,0.000000,-0.030005,-0.016245,0.000000,0.000000
oh_line_109_12,0.000000,0.000000,-0.030005,-0.016245,0.000000,0.000000
oh_line_190_39,0.000000,0.000000,-0.813528,-0.368148,0.000000,0.000000
oh_line_166_190,0.000000,0.000000,-0.843532,-0.384393,0.000000,0.000000
oh_line_191_40,0.416906,-0.254708,0.000000,0.000000,0.000000,0.000000
oh_line_193_53,0.416936,-0.255103,0.000000,0.000000,0.000000,0.000000
oh_line_194_54,0.000000,0.000000,-0.300035,-0.162450,0.000000,0.000000
oh_line_195_55,0.694931,-0.425657,-0.746870,-0.407712,0.020634,0.827063
oh_line_90_194,0.000000,0.000000,-1.593638,-0.790513,0.000000,0.000000
oh_line_197_56,0.555958,-0.340709,-0.597686,-0.326073,0.000000,0.000000
oh_line_81_225,2.781104,-1.713825,-2.999265,-1.625572,0.092151,3.314814
oh_line_200_57,0.417090,-0.257188,0.000000,0.000000,0.000000,0.000000
oh_line_199_58,0.555987,-0.341104,-0.598094,-0.325868,0.000000,0.000000
oh_line_201_41,0.139054,-0.085690,0.000000,0.000000,0.000000,0.000000
oh_line_202_201,2.920158,-1.799516,-2.999265,-1.625572,0.092151,3.314814
oh_line_203_59,0.417037,-0.256278,-0.449046,-0.244188,0.013162,0.496749
