# output/output_voltage.csv run at 2001-08-01 12:00:00 PDT on 1053 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
load_268_p,0.000000,0.000000,7308.028577,4.172814,0.000000,0.000000
load_268_q,0.000000,0.000000,7308.028577,4.172814,0.000000,0.000000
load_269_p,7349.144514,-0.008342,0.000000,0.000000,0.000000,0.000000
load_269_q,7349.144514,-0.008342,0.000000,0.000000,0.000000,0.000000
load_270_p,7342.370548,-0.009616,0.000000,0.000000,0.000000,0.000000
load_270_q,7342.370548,-0.009616,0.000000,0.000000,0.000000,0.000000
load_271_p,0.000000,0.000000,7307.922882,4.172802,0.000000,0.000000
load_271_q,0.000000,0.000000,7307.922882,4.172802,0.000000,0.000000
load_272_p,0.000000,0.000000,7307.920168,4.172802,0.000000,0.000000
load_272_q,0.000000,0.000000,7307.920168,4.172802,0.000000,0.000000
load_273_p,7336.876073,-0.010431,0.000000,0.000000,0.000000,0.000000
load_273_q,7336.876073,-0.010431,0.000000,0.000000,0.000000,0.000000
load_274_p,7333.389065,-0.011089,0.000000,0.000000,0.000000,0.000000
load_274_q,7333.389065,-0.011089,0.000000,0.000000,0.000000,0.000000
load_275_p,0.000000,0.000000,7308.224549,4.172840,0.000000,0.000000
load_275_q,0.000000,0.000000,7308.224549,4.172840,0.000000,0.000000
load_276_p,7330.830640,-0.011573,7325.994043,4.176280,7336.485627,2.082623
load_276_q,7330.830640,-0.011573,7325.994043,4.176280,7336.485627,2.082623
load_277_p,7329.617643,-0.011802,7324.696751,4.176022,0.000000,0.000000
load_277_q,7329.617643,-0.011802,7324.696751,4.176022,0.000000,0.000000
load_278_p,7315.102037,-0.014553,0.000000,0.000000,0.000000,0.000000
load_278_q,7315.102037,-0.014553,0.000000,0.000000,0.000000,0.000000
load_279_p,7327.031350,-0.012295,7321.901930,4.175471,0.000000,0.000000
load_279_q,7327.031350,-0.012295,7321.901930,4.175471,0.000000,0.000000
load_280_p,7315.112348,-0.014275,0.000000,0.000000,0.000000,0.000000
load_280_q,7315.112348,-0.014275,0.000000,0.000000,0.000000,0.000000
load_281_p,7322.908514,-0.013029,7317.369225,4.174660,7328.644874,2.081077
load_281_q,7322.908514,-0.013029,7317.369225,4.174660,7328.644874,2.081077
load_282_p,7322.906885,-0.013028,7317.379253,4.174659,7328.697147,2.081077
load_282_q,7322.906885,-0.013028,7317.379253,4.174659,7328.697147,2.081077
load_283_p,0.000000,0.000000,7309.080758,4.172952,0.000000,0.000000
load_283_q,0.000000,0.000000,7309.080758,4.172952,0.000000,0.000000
load_284_p,7323.008489,-0.013029,7317.503039,4.174656,7328.872808,2.081077
load_284_q,7323.008489,-0.013029,7317.503039,4.174656,7328.872808,2.081077
load_285_p,7315.384327,-0.014520,7309.247392,4.172974,7321.698877,2.079500
load_285_q,7315.384327,-0.014520,7309.247392,4.172974,7321.698877,2.079500
load_286_p,7319.155083,-0.013807,7313.378652,4.173787,7325.271812,2.080259
load_286_q,7319.155083,-0.013807,7313.378652,4.173787,7325.271812,2.080259
load_287_p,7320.361877,-0.013575,7314.671907,4.174044,7326.427904,2.080503
load_287_q,7320.361877,-0.013575,7314.671907,4.174044,7326.427904,2.080503
load_288_p,0.000000,0.000000,7316.371342,4.174395,0.000000,0.000000
load_288_q,0.000000,0.000000,7316.371342,4.174395,0.000000,0.000000
load_289_p,0.000000,0.000000,0.000000,0.000000,7328.568037,2.081074
load_289_q,0.000000,0.000000,0.000000,0.000000,7328.568037,2.081074
load_290_p,0.000000,0.000000,0.000000,0.000000,7320.379081,2.079362
load_290_q,0.000000,0.000000,0.000000,0.000000,7320.379081,2.079362
load_291_p,7394.166723,-0.005899,7392.069897,4.182473,7397.123561,2.088451
load_291_q,7394.166723,-0.005899,7392.069897,4.182473,7397.123561,2.088451
load_292_p,7381.147379,-0.006246,7378.527953,4.182097,7384.497811,2.088081
load_292_q,7381.147379,-0.006246,7378.527953,4.182097,7384.497811,2.088081
load_293_p,7365.384509,-0.006670,0.000000,0.000000,0.000000,0.000000
load_293_q,7365.384509,-0.006670,0.000000,0.000000,0.000000,0.000000
load_294_p,7315.066746,-0.014268,7309.202526,4.173274,7321.440205,2.079779
load_294_q,7315.066746,-0.014268,7309.202526,4.173274,7321.440205,2.079779
load_295_p,7312.719690,-0.014697,7306.480943,4.172797,7318.973043,2.079319
load_295_q,7312.719690,-0.014697,7306.480943,4.172797,7318.973043,2.079319
load_296_p,7337.204441,-0.010306,7332.758803,4.177695,7342.414297,2.083937
load_296_q,7337.204441,-0.010306,7332.758803,4.177695,7342.414297,2.083937
