# file...... output/s_in.csv
# date...... Fri Jan 19 16:25:08 2024
# user...... nathangray
# host...... (null)
# target.... meter 659
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power.real,measured_power.imag,measured_power_A.real,measured_power_A.imag,measured_power_B.real,measured_power_B.imag,measured_power_C.real,measured_power_C.imag
2001-08-01 12:00:00 PDT,+2202361.9281,+1349464.98712,+731841.833793,+449106.217392,+756569.875084,+462940.229117,+713950.219223,+437418.540611
2001-08-01 12:00:01 PDT,+2202362.183,+1349464.38824,+731841.884888,+449106.028362,+756570.004908,+462939.99527,+713950.293207,+437418.364607
2001-08-01 12:00:02 PDT,+2202362.16816,+1349464.39123,+731841.880912,+449106.028581,+756569.998586,+462939.997639,+713950.288665,+437418.365014
2001-08-01 12:00:03 PDT,+2202362.1683,+1349464.39091,+731841.880914,+449106.028493,+756569.998684,+462939.997483,+713950.288705,+437418.364933
2001-08-01 12:00:04 PDT,+2202362.16829,+1349464.39091,+731841.880913,+449106.028493,+756569.998679,+462939.997485,+713950.288703,+437418.364933
2001-08-01 12:00:05 PDT,+2202362.16829,+1349464.39091,+731841.880912,+449106.028493,+756569.998679,+462939.997485,+713950.288703,+437418.364933
2001-08-01 12:00:06 PDT,+2202362.16829,+1349464.39091,+731841.880912,+449106.028493,+756569.998679,+462939.997485,+713950.288703,+437418.364933
2001-08-01 12:00:07 PDT,+2202362.16829,+1349464.39091,+731841.880912,+449106.028493,+756569.998679,+462939.997485,+713950.288703,+437418.364933
2001-08-01 12:00:08 PDT,+2199552.82001,+907419.460548,+730773.410771,+293106.200734,+755597.862715,+315539.934132,+713181.546527,+298773.325682
2001-08-01 12:00:09 PDT,+2199552.82309,+907419.382465,+730773.411356,+293106.17429,+755597.863868,+315539.899888,+713181.547864,+298773.308287
2001-08-01 12:00:10 PDT,+2197123.43853,+36303.3892204,+730029.159759,+11776.931286,+754709.94777,+13003.4182705,+712384.331002,+11523.0396639
2001-08-01 12:00:11 PDT,+2197123.43906,+36303.2662398,+730029.158365,+11776.9006889,+754709.947563,+13003.36192,+712384.333135,+11523.0036309
2001-08-01 12:00:12 PDT,+2197123.43678,+36303.2670164,+730029.157929,+11776.9008801,+754709.946395,+13003.362375,+712384.332457,+11523.0037613
2001-08-01 12:00:13 PDT,+2197123.43678,+36303.266969,+730029.157928,+11776.900874,+754709.946394,+13003.3623465,+712384.332459,+11523.0037484
2001-08-01 12:00:14 PDT,+2197123.43678,+36303.2669693,+730029.157928,+11776.9008741,+754709.946394,+13003.3623468,+712384.332458,+11523.0037484
2001-08-01 12:00:15 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:16 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:17 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:18 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:19 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:20 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:21 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:22 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:23 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:24 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:25 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:26 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:27 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
2001-08-01 12:00:28 PDT,+2197123.43678,+36303.2669692,+730029.157928,+11776.9008741,+754709.946394,+13003.3623467,+712384.332458,+11523.0037484
